pr_gene_id,pr_gene_symbol
780,DDR1
7849,PAX8
2978,GUCA1A
2049,EPHB3
2101,ESRRA
8717,TRADD
10594,PRPF8
826,CAPNS1
11224,RPL35
6158,RPL28
1982,EIF4G2
8664,EIF3D
11315,PARK7
6727,SRP14
2665,GDI2
6135,RPL11
6144,RPL21
6152,RPL24
4735,SEPT2
6233,RPS27A
6207,RPS13
2197,FAU
1072,CFL1
6141,RPL18
8665,EIF3F
6193,RPS5
6155,RPL27
6164,RPL34
4677,NARS
56910,STARD7
6143,RPL19
5250,SLC25A3
6205,RPS11
6133,RPL9
1655,DDX5
6128,RPL6
23399,CTDNEP1
4736,RPL10A
11335,CBX3
5690,PSMB2
10657,KHDRBS1
51493,RTCB
2079,ERH
23,ABCF1
1603,DAD1
11143,KAT7
7705,ZNF146
9092,SART1
3608,ILF2
9552,SPAG7
8882,ZPR1
6881,TAF10
10438,C1D
4841,NONO
23020,SNRNP200
387,RHOA
10921,RNPS1
6229,RPS24
6156,RPL30
3326,HSP90AB1
375,ARF1
3550,IK
8724,SNX3
27013,CNPPD1
10285,SMNDC1
4670,HNRNPM
9045,RPL14
2987,GUK1
79036,KXD1
533,ATP6V0B
6194,RPS6
23326,USP22
6923,TCEB2
1327,COX4I1
10959,TMED2
2339,FNTA
6230,RPS25
6167,RPL37
1938,EEF2
3190,HNRNPK
51433,ANAPC5
6189,RPS3A
3192,HNRNPU
8661,EIF3A
7184,HSP90B1
4478,MSN
81,ACTN4
351,APP
5573,PRKAR1A
1832,DSP
5885,RAD21
4691,NCL
9948,WDR1
1173,AP2M1
1213,CLTC
163,AP2B1
9761,MLEC
3927,LASP1
10992,SF3B2
9528,TMEM59
1465,CSRP1
808,CALM3
9782,MATR3
10487,CAP1
10728,PTGES3
7453,WARS
10397,NDRG1
5216,PFN1
5792,PTPRF
7534,YWHAZ
6647,SOD1
65108,MARCKSL1
2752,GLUL
4924,NUCB1
3939,LDHA
10399,RACK1
6746,SSR2
5034,P4HB
292,SLC25A5
5245,PHB
6282,S100A11
5476,CTSA
9804,TOMM20
967,CD63
3337,DNAJB1
7323,UBE2D3
7494,XBP1
6711,SPTBN1
9741,LAPTM4A
6161,RPL32
975,CD81
754,PTTG1IP
2896,GRN
3146,HMGB1
2739,GLO1
7332,UBE2L3
9295,SRSF11
23450,SF3B3
3313,HSPA9
10971,YWHAQ
57062,DDX24
5518,PPP2R1A
3098,HK1
11014,KDELR2
10577,NPC2
8655,DYNLL1
1933,EEF1B2
9516,LITAF
5589,PRKCSH
2806,GOT2
2280,FKBP1A
37,ACADVL
6500,SKP1
22919,MAPRE1
23521,RPL13A
10121,ACTR1A
4076,CAPRIN1
5501,PPP1CC
10097,ACTR2
7803,PTP4A1
377,ARF3
2876,GPX1
5230,PGK1
6612,SUMO3
6232,RPS27
1200,TPP1
2782,GNB1
4926,NUMA1
5901,RAN
823,CAPN1
813,CALU
4779,NFE2L1
10550,ARL6IP5
1808,DPYSL2
6176,RPLP1
1495,CTNNA1
1509,CTSD
4144,MAT2A
3915,LAMC1
5757,PTMA
23196,FAM120A
9689,BZW1
468,ATF4
6210,RPS15A
308,ANXA5
3925,STMN1
4035,LRP1
5695,PSMB7
8682,PEA15
1891,ECH1
4953,ODC1
8826,IQGAP1
2547,XRCC6
50,ACO2
8404,SPARCL1
4170,MCL1
3303,HSPA1A
6301,SARS
7009,TMBIM6
10960,LMAN2
3329,HSPD1
7791,ZYX
1153,CIRBP
10574,CCT7
5720,PSME1
5048,PAFAH1B1
6204,RPS10
6209,RPS15
5714,PSMD8
3920,LAMP2
6159,RPL29
2950,GSTP1
10525,HYOU1
6633,SNRPD2
5351,PLOD1
7756,ZNF207
5708,PSMD2
6319,SCD
5908,RAP1B
6227,RPS21
10134,BCAP31
1508,CTSB
3735,KARS
2058,EPRS
9588,PRDX6
5499,PPP1CA
51669,SARAF
10768,AHCYL1
9798,IST1
2783,GNB2
3015,H2AFZ
9611,NCOR1
6202,RPS8
23019,CNOT1
1718,DHCR24
8766,RAB11A
5660,PSAP
55905,RNF114
11171,STRAP
6281,S100A10
10694,CCT8
10528,NOP56
5689,PSMB1
10575,CCT4
2034,EPAS1
3301,DNAJA1
5710,PSMD4
7385,UQCRC2
1152,CKB
389,RHOC
5223,PGAM1
6772,STAT1
6745,SSR1
6434,TRA2B
2288,FKBP4
3068,HDGF
10724,MGEA5
4074,M6PR
9403,SEP15
191,AHCY
23022,PALLD
6181,RPLP2
7203,CCT3
1974,EIF4A2
5496,PPM1G
3895,KTN1
6734,SRPRA
1912,PHC2
694,BTG1
10945,KDELR1
3959,LGALS3BP
6520,SLC3A2
1337,COX6A1
6228,RPS23
10972,TMED10
7414,VCL
10540,DCTN2
7913,DEK
811,CALR
6132,RPL8
6125,RPL5
473,RERE
3281,HSBP1
3150,HMGN1
22872,SEC31A
2746,GLUD1
8079,MLF2
6224,RPS20
10552,ARPC1A
894,CCND2
527,ATP6V0C
10989,IMMT
6749,SSRP1
6386,SDCBP
2521,FUS
22928,SEPHS2
6160,RPL31
7317,UBA1
3983,ABLIM1
226,ALDOA
5479,PPIB
27230,SERP1
10099,TSPAN3
59,ACTA2
5538,PPT1
8887,TAX1BP1
4190,MDH1
5160,PDHA1
2778,GNAS
309,ANXA6
966,CD59
710,SERPING1
3091,HIF1A
10155,TRIM28
9784,SNX17
10527,IPO7
10970,CKAP4
16,AARS
6748,SSR4
928,CD9
3032,HADHB
10628,TXNIP
6184,RPN1
301,ANXA1
10606,PAICS
3728,JUP
1964,EIF1AX
7533,YWHAH
11034,DSTN
6879,TAF7
9669,EIF5B
4267,CD99
3945,LDHB
3187,HNRNPH1
10904,BLCAP
120,ADD3
3033,HADH
5214,PFKP
5886,RAD23A
2771,GNAI2
7052,TGM2
1843,DUSP1
5870,RAB6A
6222,RPS18
23646,PLD3
8125,ANP32A
9491,PSMF1
10949,HNRNPA0
2804,GOLGB1
10398,MYL9
2040,STOM
5954,RCN1
8761,PABPC4
1537,CYC1
5701,PSMC2
4313,MMP2
23451,SF3B1
6599,SMARCC1
4809,SNU13
9375,TM9SF2
9144,SYNGR2
8396,PIP4K2B
9774,BCLAF1
5829,PXN
526,ATP6V1B2
10376,TUBA1B
5931,RBBP7
6389,SDHA
6235,RPS29
1611,DAP
378,ARF4
9276,COPB2
8239,USP9X
5211,PFKL
3956,LGALS1
2879,GPX4
7057,THBS1
1434,CSE1L
7284,TUFM
5688,PSMA7
5425,POLD2
1363,CPE
5226,PGD
1351,COX8A
10857,PGRMC1
1984,EIF5A
3693,ITGB5
4245,MGAT1
999,CDH1
3188,HNRNPH2
9867,PJA2
1350,COX7C
1892,ECHS1
5355,PLP2
3115,HLA-DPB1
6741,SSB
10457,GPNMB
1965,EIF2S1
10456,HAX1
4780,NFE2L2
7078,TIMP3
4154,MBNL1
6124,RPL4
9927,MFN2
5878,RAB5C
4836,NMT1
8531,YBX3
