Gene_Id,geldanamycin_HEPG2_24 h_10 µM,thapsigargin_HEPG2_6 h_10 µM,YC-1_HEPG2_24 h_20 µM,radicicol_HEPG2_24 h_10.0 um,YC-1_HEPG2_24 h_5 µM,geldanamycin_HEPG2_24 h_0.12 um,spiperone_HEPG2_24 h_10 µM,benzo(a)pyrene_VCAP_24 h_10 µM,tert-butylhydroquinone_JURKAT_6 h_1 µM,radicicol_HEPG2_24 h_0.12 um,spiperone_HEPG2_6 h_10 µM,VU-0418946-1_HEPG2_6 h_10 µM,tert-butylhydroquinone_JURKAT_24 h_500 nM,radicicol_HEPG2_24 h_1.11 um,geldanamycin_HEPG2_24 h_1.11 um,geldanamycin_HEPG2_24 h_1.11 µM,temozolomide_HEPG2_6 h_10 µM,radicicol_HEPG2_24 h_3.33 um,tert-butylhydroquinone_JURKAT_6 h_100 nM,tert-butylhydroquinone_JURKAT_6 h_500 nM,radicicol_HEPG2_24 h_0.04 um,geldanamycin_HEPG2_6 h_10 µM,brefeldin-a_HEPG2_6 h_10 µM,spiperone_HEPG2_24 h_3 µM,tert-butylhydroquinone_JURKAT_24 h_100 nM,tert-butylhydroquinone_JURKAT_6 h_10 µM,geldanamycin_HEPG2_24 h_0.37 µM,brefeldin-a_HEPG2_6 h_100 nM,tert-butylhydroquinone_JURKAT_24 h_10 µM,radicicol_HEPG2_6 h_10 µM,geldanamycin_HEPG2_24 h_3.33 µM,geldanamycin_HEPG2_24 h_0.12 µM,benzo(a)pyrene_VCAP_6 h_10 µM,radicicol_HEPG2_24 h_0.37 um,geldanamycin_HEPG2_24 h_3.33 um,quercetin_HEPG2_6 h_10 µM,tert-butylhydroquinone_JURKAT_24 h_3 µM,tert-butylhydroquinone_JURKAT_24 h_1 µM,geldanamycin_HEPG2_24 h_0.37 um,mitomycin-c_HCC515_6 h_10 µM,tert-butylhydroquinone_JURKAT_6 h_3 µM,mitomycin-c_HCC515_24 h_10 µM,YC-1_HEPG2_6 h_20 µM,geldanamycin_HEPG2_24 h_0.04 µM,geldanamycin_HEPG2_24 h_0.04 um,geldanamycin_HEPG2_24 h_10.0 um,spiperone_HEPG2_6 h_3 µM,YC-1_HEPG2_6 h_5 µM,YC-1_HEPG2_6 h_10 µM
16,-6.247405344,-4.179234505,0.548281252,-0.948771536,1.221316814,-0.130266294,-5.00798893,-0.227628738,-1.094370723,-1.955004692,-1.075150105,-3.923604965,1.742585778,-2.771965981,-4.904618263,-7.127407551,0.390659034,-3.516811848,-0.98260957,-0.631512672,-0.39877212,-1.430549755,-2.32796979,0.379736871,0.257906497,0.000807017,-5.905428648,-2.367211819,-0.636949956,-1.533400059,-5.522890091,-4.984831095,0.991696,-1.653384924,-5.626964092,-0.733883142,-0.071497843,0.081370175,-0.29139033,0.511564165,0.15834555,5.891402721,-0.407902777,-4.714972973,-0.794702291,-0.226080358,-0.41917187,-0.819384098,-1.311089277
23,1.708628366,-0.500050187,4.323843002,1.171567917,3.070583344,-0.430045485,2.402371407,-0.438335091,1.135596991,-0.488232702,-0.407677589,0.01381284,-0.223352864,0.203258425,0.646894693,0.197151667,7.010721207,0.306265533,-0.151273519,0.703736529,0.286803961,1.760622741,-1.019841552,0.041428596,-0.091556385,0.16109468,1.456021309,-0.61222899,0.224075139,1.566300035,1.059888102,0.680151075,0.03389287,0.64385891,0.525769651,-0.009345584,0.371480063,1.153851986,0.770226598,-0.254439503,0.391047172,-1.686227441,0.074483395,0.471678324,0.217460439,4.661653996,1.018828988,0.485990822,4.82884264
25,-4.217492174,-1.196878672,-0.322080255,-2.876885653,-0.645371675,0.178962708,0.728515744,0.204514205,-0.486746728,-1.158557057,0.360852526,-0.265684009,-0.16241445,-2.251532555,-2.316646099,-4.194290161,0.253162026,-3.107696295,-0.639563084,-0.841359317,1.868720651,-0.541694609,0.729579926,-0.837763071,0.008359618,-0.132945135,-4.446094751,1.230576873,-0.261096418,-0.149650007,-4.850607514,-5.32652545,0.282211542,-2.495645046,-2.465312719,-0.798104882,0.695004076,0.26245296,-0.314982206,-0.159838334,-0.347007468,0.500633657,-0.210871935,-4.144354343,-0.190876961,0.999143004,-0.701791048,0.166771442,0.550140023
30,0.57048364,0.227760136,-8.413793564,0.517976046,-4.795349121,0.19161886,-0.21107313,-1.261458635,-1.691612005,0.385291904,0.228926274,-2.391288042,0.100147592,0.194828689,-0.073237807,-0.023066755,1.140812635,-1.056304336,-0.931998372,-1.350255787,0.253675252,-1.973716905,-2.950892448,1.080040336,-2.978457928,0.11062374,0.149666376,-0.097904071,0.846190572,1.559000015,0.084798768,-0.456780583,0.157318562,0.712394774,0.067467585,-2.612932205,-0.024473861,0.493095845,-0.498619735,1.272655766,-0.634544551,2.817400455,-0.652083099,-0.646315992,1.30874908,0.602590442,-0.060051739,-0.329016834,-1.365187287
39,-0.089315302,0.164377928,1.073929787,-0.799064815,-0.033341408,-0.641954064,0.083359599,0.473472029,0.09640801,-0.017182345,-0.341735956,1.246601343,-0.464065291,0.100863755,0.202908158,0.387239486,-1.839463949,1.079459548,1.196811557,-0.486774027,0.580081284,0.412815377,-0.487518251,0.496611118,1.227491379,-0.452458322,0.501400396,1.001258254,0.14227736,0.383549988,-0.236268923,0.024923079,-0.672091186,-0.000660628,0.534103692,0.703403234,0.151529849,2.837969542,-0.02869169,-0.472263724,1.322262704,3.878400326,0.329854906,-0.352757752,-0.623522282,0.176482677,0.764954567,0.434492439,0.214984328
47,1.73993752,1.497882485,2.502478123,-1.232915401,0.616474926,-0.354518086,-0.281574458,0.108017974,-0.011785075,1.208520532,-0.723200943,1.133809686,0.195242666,1.082542181,1.058430314,0.922057599,0.976217508,-0.311038136,-0.08575885,-0.738722533,0.61139226,-0.229563269,-0.440641969,0.092529073,0.510344505,-1.517525673,1.485408753,0.95501709,-0.114320904,1.112050056,0.89988327,1.587556511,-0.312396675,1.707865,1.344077945,1.185400486,-0.806068867,-1.439588189,-0.621998072,1.409482062,-0.307139367,-1.326109648,0.521405935,2.457811952,-1.648315191,-0.004247427,-0.653003454,-0.033659279,0.393157601
102,-4.011981824,0.097124957,-2.822896004,-0.93963635,-2.892561436,0.518922091,-2.215717793,0.044038273,-0.142169327,-1.358083367,0.415503916,-0.684662342,0.452962004,-2.008494854,-2.744577885,-4.680294752,0.122361317,-3.209867954,-0.814868808,-0.578892455,-0.240173027,0.162713586,-0.003372803,0.30622828,0.23924388,-0.594910562,-4.04624927,-0.529276788,-0.374033153,-0.787899971,-3.292185426,-3.905217767,-0.222348303,-1.484200597,-1.788871765,-0.617212296,0.613037407,-0.236512333,-0.817311764,0.003514603,-0.620135255,-1.805840254,-0.851457298,-3.760603666,0.273863852,0.605142713,0.546408415,-0.183471575,-0.120310977
128,-1.244258733,-0.486645341,-1.34519887,1.372571468,-2.302744865,-0.791096509,-0.186977908,2.03692174,0.531755149,0.772331655,-0.059812291,-0.654123247,0.370868325,4.28179121,-0.222956151,0.592560649,-0.228015825,3.437443018,-0.04473142,0.100752667,2.666177273,1.092770326,3.775252819,0.998832464,0.550923526,0.587453067,-0.008399069,3.647685528,0.823079467,1.363749981,-0.222638234,-0.859346747,0.272086054,1.588708878,0.36570859,0.046392247,-0.099722281,-0.766827881,-1.269641638,1.362575412,1.717735142,-2.049809694,-0.000356168,-0.397268027,9.838504791,-0.252470613,-0.069462776,-0.753722072,3.494422436
142,-4.15817743,-2.054375648,1.910150051,0.326566905,1.445993781,-0.531175017,-2.643372297,0.688426197,1.001615763,-2.447384834,0.514784646,-0.171709061,0.466360077,-1.68554163,-3.874251366,-4.623137474,0.164389223,-0.060684808,-0.749863505,-0.026166596,-1.05756402,-0.326789719,1.719952464,0.097232707,0.523547232,0.784319997,-4.672178984,0.106102511,1.371026516,0.441200018,-3.861536384,-4.115720749,0.568745017,-2.431490421,-3.386116982,0.574063003,0.866215378,0.557843566,-0.9451859,-0.224769324,0.665660441,3.640312195,1.653833508,-5.650848389,-0.573073089,-0.21236518,-0.035333768,1.109192371,1.344334364
154,2.823695412,-1.012356758,-3.127782583,3.661305428,0.091337904,0.033300262,0.78319639,-1.101295233,0.06281919,0.756369174,-0.148138599,1.940782905,-0.230770409,3.144483328,3.083283663,2.030278265,0.529296756,2.802004337,-2.7574265,0.948983341,0.756966114,-0.772358402,-0.65151751,-6.762876511,-0.461334527,-0.000377476,2.880795956,0.069340616,-1.685899854,0.225500017,2.531415105,2.423831224,-1.477622986,1.715247631,-5.140927792,-1.214814782,0.014466181,0.644930303,0.240780145,0.639123023,0.332948506,-0.751066923,0.07365936,3.252944231,0.407922447,-0.300184429,-2.730712175,-2.863678217,0.58713454
