Gene_Id	VU-0418946-1_HEPG2_6 h_10 µM
AARS	-3.923604965
ABCF1	0.01381284
ABL1	-0.265684009
ACAA1	-2.391288042
ACAT2	1.246601343
ACLY	1.133809686
ADAM10	-0.684662342
ADH5	-0.654123247
PARP1	-0.171709061
ADRB2	1.940782905
AGL	-1.964305878
AKT1	-3.188071013
ALAS1	0.414669931
ALDOA	-1.395674109
ALDOC	-0.007088527
SLC25A4	2.98033309
ANXA7	1.69674468
APBB2	-1.146631598
BIRC2	-0.935894132
BIRC5	0.336306334
APOE	-0.096013039
APP	-1.142185569
FAS	-0.7805475
RHOA	1.130717993
ARHGAP1	0.503750443
ASAH1	0.503179073
ATF1	1.273649693
ATP1B1	5.186945915
ALDH7A1	0.87163657
ATP6V0B	-2.016946554
BAD	-0.531220675
BAX	3.431729794
CCND1	-3.719099522
BCL2	0.979299068
BDH1	-5.345607758
BID	0.940342188
BLMH	2.07749629
BLVRA	1.008713126
BMP4	0.58300662
BNIP3	-0.159790918
BNIP3L	0.10057991
BPHL	-2.147188187
BRCA1	-4.164116859
BTK	1.588536739
BUB1B	0.188208491
C5	-0.22175768
DDR1	-0.665177464
CALM3	0.050303727
CALU	-0.254468501
CAPN1	-1.023336411
CAST	-1.156760931
CASP2	-1.789602637
CASP3	-1.426144958
CASP7	0.508700609
CASP10	0.406888872
CAT	0.406687438
CBLB	0.417274654
CBR1	-1.540531874
CBR3	0.123121634
CCNA2	-2.228222609
CCNB1	-0.787607074
CCND3	0.804179549
CCNF	-0.574350893
CCNH	-1.301828504
SCARB1	0.967548728
CD40	-0.994742393
CD44	0.671456933
CD58	0.368288308
ADGRE5	-0.833039522
CDK1	-1.825915456
CDC20	-0.306199372
CDC25A	-1.115281105
CDC25B	0.615000725
CDC42	-1.60872066
CDH3	3.804072857
CDK2	-3.919846773
CDK4	0.706365943
CDK6	2.848360538
CDK7	4.182596207
CDKN1A	0.281276286
CDKN1B	1.864077806
CDKN2A	0.639154077
CEBPA	1.784720182
CEBPD	-1.745876074
CENPE	1.018795133
CETN3	-1.222063303
CHEK1	-1.071771622
CHN1	0.173098713
CIRBP	-0.786826015
CLTB	1.138331294
CLTC	-1.391725421
COL1A1	-0.352720201
COL4A1	-1.753466487
CREB1	-1.501314163
CRK	0.322540462
CRKL	0.181182057
CRYZ	-4.064115524
CSK	-0.472439796
CSNK1A1	1.596168756
CSNK1E	-0.487227499
CSNK2A2	0.320214212
CSRP1	-4.929040432
CTNND1	0.770926476
CTSD	-3.763296604
CTSL	1.470416784
CYB561	-1.185817719
DAG1	-0.389255166
DAXX	-0.423243999
DCK	0.787953317
DCTD	-0.174221113
DDB2	-0.146926448
GADD45A	-0.805756569
DDX10	-4.186353207
DECR1	-0.106956482
DFFA	-0.915780723
DFFB	-0.548719227
DLD	-0.267992109
DNM1	1.549910307
DNMT1	-2.353522301
DNMT3A	0.249131516
DPH2	-0.076374307
DSG2	0.865844548
TSC22D3	1.675565481
DUSP3	-0.373393774
DUSP4	-1.486485362
DUSP6	0.679074109
TOR1A	2.053302526
E2F2	0.248543859
ECH1	-6.505631924
EDN1	-0.48353076
EGF	-3.45501852
EGFR	-0.309539944
EGR1	2.947979927
EIF4EBP1	1.468630791
EIF4G1	2.942103386
EIF5	-3.15878582
ELAVL1	-1.885504723
CTTN	-1.216430187
EPB41L2	1.217378974
EPHA3	2.820078373
EPHB2	0.080686286
EPRS	0.461544633
NR2F6	0.330139995
ERBB2	1.317612529
ERBB3	0.016492262
ETFB	-0.325808227
ETS1	1.987690926
ETV1	-1.147651553
EXT1	2.74297452
EZH2	1.567384124
FAH	-1.780735016
PTK2B	-1.14876163
FAT1	-0.396234393
FDFT1	-0.930364192
FGFR2	-1.272617102
FGFR4	3.325980663
FHL2	1.116839647
FKBP4	-1.213865757
FOXO3	0.582245827
FOS	1.606360197
FPGS	-0.138710201
FUT1	0.200083449
FYN	1.105525494
SLC37A4	-1.457648873
GAA	0.468038797
GABPB1	-1.154999018
GALE	0.741426945
GAPDH	1.640487432
GATA2	0.360957682
GATA3	-0.09890224
GFPT1	2.701009035
GHR	-4.392468929
GLI2	-0.348549992
GLRX	-2.538750172
GNA11	0.468209803
GNA15	0.096277066
GNAI1	-0.43822372
GNAI2	10
GNAS	1.632750511
SFN	0.040812314
GPC1	1.936075807
GPER1	-0.412386119
GRB7	-1.305702448
GRB10	2.192011595
GRN	0.148342162
NR3C1	-0.709995031
CXCL2	-0.189397246
GSTM2	0.600999236
GSTZ1	2.805707216
MSH6	-3.790886879
GTF2A2	-1.681050301
GTF2E2	-1.5561198
HSD17B10	-1.283881903
HADH	-0.725472689
HDAC2	0.750544131
HIF1A	0.419977576
HK1	-0.205671489
HLA-DMA	0.276252985
HLA-DRA	-1.514447212
HMGCR	-1.288001418
HMGCS1	0.080808118
HMOX1	1.506891847
HOXA5	0.471610546
HOXA10	2.067527771
HPRT1	-0.312709957
HES1	-0.284186661
DNAJB2	4.546630383
HSPA1A	1.104112864
HSPA4	-1.865118146
HSPA8	-0.855382323
HSPB1	0.537087381
HSPD1	-0.291347265
DNAJB1	-0.058005273
ICAM1	-0.649465203
ICAM3	-1.455316186
ID2	3.712025166
IDE	-1.828949928
IFNAR1	0.64563179
IGF1R	-2.702640533
IGF2R	4.149455071
IGFBP3	-2.901732206
IGHMBP2	-0.980223596
IKBKB	3.530384064
IL1B	0.058151312
IL4R	1.95863235
IL13RA1	0.323268026
ILK	1.992612362
INPP1	-0.384681642
INSIG1	0.589175344
ITGAE	0.395483375
ITGB5	-0.357680202
JUN	-0.45399794
KCNK1	5.424308777
KIF5C	0.487498879
KIT	-0.812758088
KTN1	-0.05207631
LAMA3	-0.318259567
STMN1	0.393589973
LBR	0.282016784
LGALS8	0.478501856
LIG1	3.096534729
LIPA	-1.228580117
LOXL1	3.230527639
LRPAP1	0.220528722
LYN	-0.280560076
SMAD3	0.200885922
MAN2B1	-0.937846661
MAT2A	-0.78521347
MBNL1	1.664362192
MCM3	-0.551877201
ME2	0.310010225
MEF2C	-0.642346978
MAP3K4	-0.094222762
MEST	1.000048518
MIF	1.334565997
FOXO4	-0.803466916
MMP1	-0.148890942
MMP2	0.129666552
MNAT1	-2.903337479
MSRA	0.35132277
MUC1	0.594758511
MYBL2	0.971970201
MYC	1.83017242
GADD45B	-0.626787782
MYLK	0.230232105
MYO10	-0.405756593
NCK1	-0.826385856
NFATC3	-0.442663938
NFATC4	0.076736361
NFE2L2	-0.006679446
NFIL3	-1.342514277
NFKB2	-0.659866214
NFKBIA	-1.134525299
NFKBIB	0.550398767
NFKBIE	-0.136111468
NIT1	-1.239041686
NMT1	1.372028112
NOS3	1.007962346
CNOT4	0.780666053
NOTCH1	-1.848594189
PNP	-1.221902847
NPC1	2.625564098
SLC11A2	-1.063521981
NRAS	0.435069919
NUCB2	0.145256355
NUP88	-2.751973867
NVL	-0.324413538
ORC1	-0.501700878
OXA1L	-1.459724307
OXCT1	-0.567992806
PAFAH1B1	1.461621046
PAFAH1B3	-0.886886418
SERPINE1	-0.658589363
PAK1	2.238283634
PCBD1	-0.07228253
PCCB	-0.083658442
PCK2	2.229376078
PCM1	4.496608257
PCMT1	2.33419919
PCNA	0.857288122
PDGFA	-1.167857289
PFKL	0.807801604
PGAM1	0.607735574
PGM1	1.14529717
PHKA1	0.352829635
PHKB	-3.615774155
PHKG2	2.358698845
PIK3C2B	-2.63442421
PIK3C3	1.524507999
PIK3CA	0.641270816
PIN1	2.377977371
PLA2G4A	-1.612637758
PLCB3	-2.629617453
PLK1	-0.580049217
PLP2	0.489275813
PLS1	-0.503650606
PLSCR1	-1.177837849
PMAIP1	-1.426808715
PMM2	0.477059692
POLB	1.831739187
POLE2	0.488960445
POLR2I	0.590756774
POLR2K	1.412676215
PPARD	-1.274143696
PPARG	-0.363494724
PPIC	3.691057205
PPOX	0.909149051
PPP2R5A	-1.729797482
PPP2R5E	0.503694475
PRCP	7.297743797
PRKACA	-1.87065196
PRKCD	0.706485808
PRKCH	1.881733298
PRKCQ	-0.506000519
MAPK9	-2.642603397
MAPK13	-0.634080172
MAP2K5	0.540111184
PRKX	1.67805326
PROS1	-0.803255379
LGMN	-0.306623787
HTRA1	-0.845324874
PSMB8	-2.402623177
PSMB10	-0.757092237
PSMD2	0.65042758
PSMD4	-0.59752214
PSMD9	-0.194103032
PSMD10	0.627069056
PSME1	-0.546926737
PSME2	-1.624427438
PTGS2	0.456084967
PTK2	-0.890895128
PTPN1	3.652371407
PTPN6	-4.667536736
PTPN12	-2.213913441
PTPRC	-1.46342206
PTPRF	2.262683868
PTPRK	-1.303456187
PXMP2	0.15533486
PXN	-0.309521258
PYCR1	-1.395364046
PYGL	0.348981202
RAB4A	1.861845374
RAB27A	-0.509674311
RAC2	0.785176516
RAD9A	5.104833126
RAD51C	-1.35417819
MOK	-0.127896458
RALA	1.206671238
RALB	1.451148748
RALGDS	2.96714592
RAP1GAP	1.204056978
RASA1	1.106988311
RB1	-2.02533865
KDM5A	1.991357684
RELB	-3.011064291
RFC2	-1.730542779
RFC5	-4.781262398
RFNG	-0.874974489
RFX5	-2.568707466
RGS2	1.605257988
RHEB	-1.25585568
RNH1	2.050820351
RPA1	-0.484174132
RPA2	-0.030232484
RPA3	-0.212377161
MRPL12	2.410782337
RPN1	-0.660585523
RPS5	3.404406548
RPS6	0.834200621
RPS6KA1	-0.233461976
RSU1	-1.967658281
RTN2	-0.31035471
S100A4	0.239845634
S100A13	2.453835964
SATB1	-0.288941413
SCP2	1.06548202
CCL2	2.162327766
SDHB	-0.715225458
SGCB	-2.02368331
SHB	0.921424031
SHC1	5.547039032
SKIV2L	-0.924824476
SKP1	0.092499971
SLC1A4	0.326095074
SMARCA4	-0.254667848
SMARCC1	-0.215927199
SMARCD2	-1.383132219
SNAP25	1.047241569
SNCA	-1.617722273
SOX2	-0.94746238
SOX4	0.78143692
SPAG4	-4.682975769
SPP1	-4.075606346
SPR	2.049160242
SPTAN1	-2.108247757
SRC	-2.162817001
STAT1	-0.224297538
STAT3	-0.382819176
STAT5B	-0.5946064
AURKA	6.755814552
STK10	-1.097099543
STX1A	-1.919031382
STX4	1.58154273
STXBP1	-3.063194752
STXBP2	6.009669304
SUPV3L1	-0.032995969
SUV39H1	-1.493992329
SYK	-0.584811747
SYPL1	-0.081626117
TARBP1	0.584768951
TBP	-1.99012208
TBX2	0.499064267
TBXA2R	0.152026579
TCEA2	0.014712831
VPS72	-0.790312588
TCTA	1.729833961
DYNLT3	-2.190689325
TERT	4.683062077
TESK1	2.930870533
TFAP2A	0.289767265
TFDP1	1.148376942
TGFB3	1.697401047
TGFBR2	2.139373302
TIAM1	-0.416893065
TIMP2	0.796406388
TJP1	0.254135072
TLE1	6.460661411
TLR4	5.304068565
TSPAN6	0.467372894
TSPAN4	3.391599178
TOP2A	0.467001885
TP53	0.439732611
TP53BP1	-1.222574949
TP53BP2	-0.661814094
TPD52L2	-3.561256886
TPM1	0.001113966
TSTA3	4.353660107
TXNRD1	3.575361252
UBE2A	-3.177221537
UGDH	3.339351654
NR1H2	-0.33491537
USP1	0.201677769
VDAC1	-0.614795804
WFS1	-0.958013773
WRB	0.020508535
XBP1	-0.377792031
XPNPEP1	-0.628407955
ZFP36	-2.798964262
ZNF131	-0.487155318
ZMYM2	-0.287010044
PAX8	-2.100927353
CXCR4	5.555570602
IFRD2	0.304729044
MAPKAPK3	0.221112654
USP7	-1.66914916
REEP5	0.07849589
ST7	-0.07334508
KAT6A	-2.156598091
PDHX	-3.442079544
FOSL1	-0.036091983
HMGA2	0.470488906
NCOA3	-0.443760008
NRIP1	-1.701240897
SMC1A	-1.170601726
LAGE3	2.504962921
AXIN1	-0.911531091
CDC45	-3.587436676
FZD1	-3.747288704
FZD7	0.227910638
HIST2H2BE	-1.043480158
