Gene_Id	YC-1_HEPG2_6 h_10 µM
AARS	-1.311089277
ABCF1	4.82884264
ABL1	0.550140023
ACAA1	-1.365187287
ACAT2	0.214984328
ACLY	0.393157601
ADAM10	-0.120310977
ADH5	3.494422436
PARP1	1.344334364
ADRB2	0.58713454
AGL	0.136967018
AKT1	-4.341589451
ALAS1	0.631688297
ALDOA	1.535370111
ALDOC	-0.073630705
SLC25A4	0.272018015
ANXA7	1.648933411
APBB2	-2.736171484
BIRC2	-0.60561651
BIRC5	-1.073215604
APOE	-0.633646131
APP	0.613519788
FAS	-3.156423807
RHOA	-2.125172377
ARHGAP1	0.276352525
ASAH1	-1.5489043
ATF1	-1.489675522
ATP1B1	0.997182846
ALDH7A1	-0.927547336
ATP6V0B	0.206947386
BAD	1.729498625
BAX	3.808609962
CCND1	1.789094687
BCL2	3.571454287
BDH1	-0.982397079
BID	1.509295583
BLMH	-0.08721444
BLVRA	1.282541513
BMP4	-1.137179375
BNIP3	-0.348395437
BNIP3L	-0.760672927
BPHL	2.4704175
BRCA1	-0.203962371
BTK	-0.908293068
BUB1B	-2.467317343
C5	2.258742332
DDR1	-1.177523613
CALM3	-0.279633045
CALU	-0.589124084
CAPN1	1.239749193
CAST	0.237481982
CASP2	-0.998708665
CASP3	0.094234049
CASP7	1.951843381
CASP10	0.257173479
CAT	-0.220537379
CBLB	4.060720921
CBR1	-0.68776077
CBR3	-0.315352917
CCNA2	-0.434360534
CCNB1	1.209508419
CCND3	0.956905842
CCNF	-1.051936507
CCNH	0.172086298
SCARB1	-1.684152484
CD40	0.802990794
CD44	0.754949629
CD58	-1.922939181
ADGRE5	0.762187779
CDK1	-0.546587944
CDC20	0.585114062
CDC25A	-0.045991361
CDC25B	1.191527605
CDC42	0.54009819
CDH3	0.383809328
CDK2	-1.422132015
CDK4	0.005464837
CDK6	1.859173536
CDK7	6.773506165
CDKN1A	-0.247368768
CDKN1B	1.814473748
CDKN2A	-0.090233766
CEBPA	-0.623632431
CEBPD	0.334782958
CENPE	-2.794563293
CETN3	0.144061089
CHEK1	0.301110923
CHN1	-1.51227355
