Gene_Id	benzo(a)pyrene_VCAP_24 h_10 µM
AARS	-0.227628738
ABCF1	-0.438335091
ABL1	0.204514205
ACAA1	-1.261458635
ACAT2	0.473472029
ACLY	0.108017974
ADAM10	0.044038273
ADH5	2.03692174
PARP1	0.688426197
ADRB2	-1.101295233
AGL	0.104834206
AKT1	-0.549023092
ALAS1	0.029418737
ALDOA	0.15342024
ALDOC	0.298275352
SLC25A4	0.290297836
ANXA7	0.486841738
APBB2	-1.105728865
BIRC2	-1.099450588
BIRC5	0.550856173
APOE	-1.171281934
APP	0.218334705
FAS	-0.289550602
RHOA	0.637928009
ARHGAP1	-0.203273281
ASAH1	-0.969034076
ATF1	-1.553554296
ATP1B1	1.119371295
ALDH7A1	1.250444174
ATP6V0B	-0.593610287
BAD	1.05053854
BAX	-0.735532522
CCND1	0.092469335
BCL2	-0.637192369
BDH1	0.48751986
BID	1.171658039
BLMH	-0.89075464
BLVRA	-0.020462269
BMP4	-0.621264696
BNIP3	0.138241529
BNIP3L	-0.222398937
BPHL	-0.059674293
BRCA1	0.762856185
BTK	0.383078009
BUB1B	0.358384132
C5	-0.198220491
DDR1	2.598673344
CALM3	0.103403419
CALU	0.02273117
CAPN1	1.950930119
CAST	0.241469175
CASP2	0.488545299
CASP3	0.502710283
CASP7	0.500693977
CASP10	0.833343863
CAT	-0.445767909
CBLB	-0.556746125
CBR1	-0.018216789
CBR3	0.508767784
CCNA2	1.144987702
CCNB1	-0.204302162
CCND3	-0.08965762
CCNF	-0.529901922
CCNH	-0.504672289
SCARB1	0.130625159
CD40	0.741741061
CD44	0.575828731
CD58	0.85824573
ADGRE5	0.135222584
CDK1	-0.786330819
CDC20	-0.312509328
CDC25A	-0.163225636
CDC25B	-0.099743724
CDC42	0.876171589
CDH3	0.198587224
CDK2	0.576758206
CDK4	0.123568892
CDK6	1.035801053
CDK7	-0.302461505
CDKN1A	-0.057216153
CDKN1B	-0.298285007
CDKN2A	0.352341056
CEBPA	-0.020228446
CEBPD	-0.473015368
CENPE	-0.502952874
CETN3	-0.433889568
CHEK1	-0.013628341
CHN1	-0.794200599
CIRBP	-1.626731396
CLTB	0.052930851
CLTC	0.658284783
COL1A1	0.30369696
COL4A1	0.063747317
CREB1	-0.363884598
CRK	-0.49602136
CRKL	-0.240599215
CRYZ	-0.328284889
CSK	1.630111575
CSNK1A1	-0.110812545
CSNK1E	-0.518880785
CSNK2A2	-0.349799097
CSRP1	0.381289124
CTNND1	0.02958785
CTSD	0.599582553
CTSL	-0.44912827
CYB561	-0.254134893
DAG1	-0.025943488
DAXX	-0.035837099
DCK	0.75330025
DCTD	0.401783347
DDB2	-0.004272699
GADD45A	-0.613683581
DDX10	0.142310053
DECR1	-0.213594913
DFFA	0.469259024
DFFB	0.190029144
DLD	-0.171695873
DNM1	0.62325114
DNMT1	-0.278045237
DNMT3A	0.372599721
DPH2	-0.605061293
DSG2	-0.648342788
TSC22D3	0.304498255
DUSP3	1.364725471
DUSP4	-0.29334107
DUSP6	0.386729538
TOR1A	-0.165404126
E2F2	0.153246805
ECH1	0.081020921
EDN1	0.72612077
EGF	-0.145893544
EGFR	0.167216897
EGR1	-0.073739991
EIF4EBP1	0.462208569
EIF4G1	-0.027230531
EIF5	0.83009851
ELAVL1	0.205237597
CTTN	0.402842522
EPB41L2	-0.317319423
EPHA3	0.68362993
EPHB2	0.247092724
EPRS	0.04819575
NR2F6	0.013828345
ERBB2	-0.343317032
ERBB3	0.000845045
ETFB	-0.020494476
ETS1	-0.486170769
ETV1	0.815695286
EXT1	0.826353073
EZH2	0.143449724
FAH	0.468911886
PTK2B	-0.129672617
