Gene_Id	brefeldin-a_HEPG2_6 h_10 µM
AARS	-2.32796979
ABCF1	-1.019841552
ABL1	0.729579926
ACAA1	-2.950892448
ACAT2	-0.487518251
ACLY	-0.440641969
ADAM10	-0.003372803
ADH5	3.775252819
PARP1	1.719952464
ADRB2	-0.65151751
AGL	0.402069628
AKT1	-3.465758085
ALAS1	-0.533311963
ALDOA	-0.116228759
ALDOC	-0.542411029
SLC25A4	0.841148973
ANXA7	1.991014719
APBB2	0.460630834
BIRC2	-1.065402269
BIRC5	0.405309677
APOE	0.447605014
APP	0.907911897
FAS	-4.497539997
RHOA	0.106596589
ARHGAP1	-1.028731823
ASAH1	0.39274931
ATF1	2.251651049
ATP1B1	0.970466733
ALDH7A1	-1.184024096
ATP6V0B	3.417700052
BAD	0.616448581
BAX	0.048953801
CCND1	-1.09945786
BCL2	2.389966726
BDH1	-0.808210731
BID	0.437116861
BLMH	0.176526904
BLVRA	-0.366673261
BMP4	-0.47954312
BNIP3	-0.597003937
BNIP3L	0.670318246
BPHL	0.243346959
BRCA1	-3.185580969
BTK	-1.831127524
BUB1B	0.058283448
C5	1.039328933
DDR1	3.384464979
CALM3	0.18051368
CALU	0.932786584
CAPN1	-2.359095097
CAST	-0.575376868
CASP2	0.73878026
CASP3	2.443651438
CASP7	-0.322238803
CASP10	0.496962309
CAT	2.243022919
CBLB	1.249919653
CBR1	-1.078263044
CBR3	-0.274908364
CCNA2	-0.144406527
CCNB1	-1.8274436
CCND3	1.112779379
CCNF	0.416980088
CCNH	-0.638047874
SCARB1	-0.281384319
CD40	2.536187887
CD44	3.268752575
CD58	0.293082744
ADGRE5	-0.484668672
CDK1	0.285302699
CDC20	-0.10772308
CDC25A	0.472738445
CDC25B	1.409450173
CDC42	-0.384710282
CDH3	1.145371437
CDK2	-2.028687
CDK4	0.261368752
CDK6	0.604743719
CDK7	4.678067684
CDKN1A	0.746622086
CDKN1B	-0.781911314
CDKN2A	-0.201193616
CEBPA	0.069169372
CEBPD	-0.082045138
CENPE	0.063594028
CETN3	-0.604486167
CHEK1	1.535634041
CHN1	0.754017353
CIRBP	0.126355857
CLTB	-0.621065497
CLTC	1.400460601
COL1A1	0.140855074
COL4A1	0.866740704
CREB1	2.144689322
CRK	1.324705958
CRKL	-0.051498137
CRYZ	1.185538888
CSK	-1.343500614
CSNK1A1	-0.71053642
CSNK1E	3.57534337
CSNK2A2	-1.285737276
CSRP1	0.702973962
CTNND1	-0.455477953
CTSD	0.152654424
CTSL	-0.322628111
CYB561	-0.022130907
DAG1	0.703768611
DAXX	-0.072493322
DCK	0.707385123
DCTD	-0.20182614
DDB2	-0.718024909
GADD45A	-0.516939759
DDX10	0.076327816
DECR1	-1.485417843
DFFA	-0.619388163
DFFB	4.185916424
DLD	0.047187075
DNM1	2.550646067
DNMT1	-0.295499861
DNMT3A	0.17733404
DPH2	0.243709832
