Gene_Id	brefeldin-a_HEPG2_6 h_100 nM
AARS	-2.367211819
ABCF1	-0.61222899
ABL1	1.230576873
ACAA1	-0.097904071
ACAT2	1.001258254
ACLY	0.95501709
ADAM10	-0.529276788
ADH5	3.647685528
PARP1	0.106102511
ADRB2	0.069340616
AGL	-0.735164165
AKT1	-0.473528653
ALAS1	0.341204345
ALDOA	-0.894314051
ALDOC	-0.719956458
SLC25A4	1.39359498
ANXA7	-0.281124294
APBB2	0.429659486
BIRC2	-1.364278078
BIRC5	-0.038270731
APOE	-0.125359982
APP	0.723464727
FAS	4.525956631
RHOA	-1.010574341
ARHGAP1	-0.69400394
ASAH1	-0.411679119
ATF1	1.711854458
ATP1B1	0.495096982
ALDH7A1	-0.610147238
ATP6V0B	2.731437206
BAD	0.892301917
BAX	-0.222553074
CCND1	0.327681899
BCL2	0.966238439
BDH1	-1.382830858
BID	-1.100027084
BLMH	0.105125919
BLVRA	1.665911436
BMP4	-0.19562161
BNIP3	-0.196437016
BNIP3L	0.208778828
BPHL	-0.146585882
BRCA1	-4.294227123
BTK	-0.713136375
BUB1B	-0.27936548
C5	0.628485262
DDR1	0.967115045
CALM3	0.381407022
CALU	0.164169252
CAPN1	-0.548056543
CAST	-1.823029757
CASP2	-0.414397001
CASP3	1.636011362
CASP7	-0.031706125
CASP10	-0.886381984
CAT	2.724588156
CBLB	0.632332742
CBR1	-0.284238458
CBR3	-1.32006979
CCNA2	1.437711477
CCNB1	-0.908448577
CCND3	-0.58171618
CCNF	0.188508093
CCNH	1.115069628
SCARB1	-0.708657742
CD40	1.487409472
CD44	1.075468779
CD58	-0.068117857
ADGRE5	-1.015236616
CDK1	-0.412314951
CDC20	-0.633549333
CDC25A	0.015952362
CDC25B	1.111935377
CDC42	-0.732718825
CDH3	0.799245238
CDK2	-1.266487598
CDK4	0.005380705
CDK6	-0.245470986
CDK7	3.389210224
CDKN1A	-0.282574296
CDKN1B	0.39269805
CDKN2A	0.067073047
CEBPA	1.818733931
CEBPD	-0.524665296
CENPE	-1.155030727
CETN3	-0.174423277
CHEK1	-0.288535774
CHN1	0.008973476
CIRBP	-0.014225271
CLTB	-1.41639924
CLTC	0.953566432
COL1A1	-0.548827469
COL4A1	-0.528446317
CREB1	0.624112844
CRK	0.176983953
CRKL	0.261404902
CRYZ	0.926944971
CSK	-2.522468567
CSNK1A1	-0.085832909
CSNK1E	4.153719902
CSNK2A2	-0.638997912
CSRP1	-0.467663795
CTNND1	0.396443546
CTSD	-1.008869648
CTSL	-0.320598066
CYB561	0.958595455
DAG1	0.029079169
DAXX	-0.056221813
DCK	1.176137686
DCTD	0.839577258
DDB2	-0.85465312
GADD45A	-0.278825402
DDX10	-0.194869325
DECR1	-0.793061197
DFFA	-1.300845504
DFFB	-0.259369493
DLD	0.347708315
DNM1	0.6493662
DNMT1	-0.236414
DNMT3A	-0.931413054
DPH2	0.053893134
