Gene_Id	geldanamycin_HEPG2_24 h_0.12 um
AARS	-0.130266294
ABCF1	-0.430045485
ABL1	0.178962708
ACAA1	0.19161886
ACAT2	-0.641954064
ACLY	-0.354518086
ADAM10	0.518922091
ADH5	-0.791096509
PARP1	-0.531175017
ADRB2	0.033300262
AGL	-0.132118493
AKT1	0.505640149
ALAS1	-0.52829963
ALDOA	-0.105345227
ALDOC	0.36211127
SLC25A4	-0.705370784
ANXA7	0.154780358
APBB2	0.202341944
BIRC2	0.802908838
BIRC5	-0.193649083
APOE	-0.291173637
APP	0.695314705
FAS	0.596863031
RHOA	-0.023653995
ARHGAP1	0.054703869
ASAH1	0.14881058
ATF1	-0.43119368
ATP1B1	-0.566060901
ALDH7A1	0.889239728
ATP6V0B	0.29894951
BAD	0.300228775
BAX	-0.265325665
CCND1	0.412301779
BCL2	-0.813971639
BDH1	-0.202143177
BID	-0.338517368
BLMH	0.275270313
BLVRA	-0.325597763
BMP4	0.179433569
BNIP3	-0.119359039
BNIP3L	-0.592568636
BPHL	1.033622026
BRCA1	-0.951276183
BTK	0.500151396
BUB1B	0.309912443
C5	-0.634269714
DDR1	0.009951565
CALM3	-0.011031449
CALU	0.489905357
CAPN1	0.10732618
CAST	0.310534954
CASP2	0.202738062
CASP3	-0.412183195
CASP7	-0.041806374
CASP10	-0.210485399
CAT	0.394679666
CBLB	3.469744205
CBR1	-0.235664323
CBR3	-0.420842916
CCNA2	0.533314824
CCNB1	-1.179549456
CCND3	0.309200943
CCNF	-0.245961562
CCNH	0.414435476
SCARB1	0.123533651
CD40	0.147152856
CD44	0.483195633
CD58	0.231954768
ADGRE5	-0.71975553
CDK1	0.475431859
CDC20	0.076866731
CDC25A	0.117547035
CDC25B	0.056754813
CDC42	-0.052527428
CDH3	-0.11862915
CDK2	0.413209438
CDK4	0.152040571
CDK6	-0.176129341
CDK7	-0.170385301
CDKN1A	-0.315031439
CDKN1B	1.198401213
CDKN2A	-0.333511353
CEBPA	-0.521172464
CEBPD	0.263427019
CENPE	0.500443041
CETN3	-0.604068279
CHEK1	-0.700519741
CHN1	0.517998695
CIRBP	0.452444196
CLTB	0.140640676
CLTC	0.269466072
COL1A1	-0.214612827
COL4A1	0.534003198
CREB1	0.35596323
CRK	0.027546272
CRKL	-0.277582079
CRYZ	-0.279047906
CSK	0.175143868
CSNK1A1	-1.112198114
CSNK1E	0.187899694
CSNK2A2	0.373163581
CSRP1	0.076360911
CTNND1	0.194950476
CTSD	0.844117463
CTSL	-0.217029572
CYB561	-0.237716064
DAG1	-0.639586985
DAXX	0.986877978
DCK	0.604661167
DCTD	-1.001298904
DDB2	-0.037489895
GADD45A	0.527426541
DDX10	-0.070191495
DECR1	-0.143283799
DFFA	-0.908681035
DFFB	0.475621819
DLD	0.590881109
DNM1	-0.342265189
DNMT1	-0.750194252
DNMT3A	0.756959558
DPH2	-0.527750373
DSG2	0.201841325
TSC22D3	2.131045818
DUSP3	-0.878332138
DUSP4	-0.313852757
DUSP6	2.589659691
TOR1A	-0.097679824
E2F2	0.139921576
ECH1	-0.233831882
EDN1	0.875684023
EGF	0.678184569
EGFR	-0.132452369
EGR1	0.135566771
EIF4EBP1	0.254940927
EIF4G1	0.301426888
EIF5	0.244277969
ELAVL1	0.660695493
CTTN	-0.175562426
EPB41L2	-0.002411295
EPHA3	-0.272265613
EPHB2	-0.588932693
EPRS	0.195497334
NR2F6	-0.690419316
