Gene_Id	geldanamycin_HEPG2_24 h_0.37 µM
AARS	-5.905428648
ABCF1	1.456021309
ABL1	-4.446094751
ACAA1	0.149666376
ACAT2	0.501400396
ACLY	1.485408753
ADAM10	-4.04624927
ADH5	-0.008399069
PARP1	-4.672178984
ADRB2	2.880795956
AGL	1.344020545
AKT1	0.116687313
ALAS1	2.014302969
ALDOA	-2.891878366
ALDOC	-0.943664998
SLC25A4	-0.999079496
ANXA7	0.795093089
APBB2	-0.273874745
BIRC2	0.491738617
BIRC5	1.467559218
APOE	0.555388004
APP	-5.931792974
FAS	-1.586428463
RHOA	1.430755138
ARHGAP1	1.920038328
ASAH1	-0.515899673
ATF1	2.992546797
ATP1B1	-2.931371093
ALDH7A1	-0.014605619
ATP6V0B	-2.382056475
BAD	-0.502724335
BAX	2.199844003
CCND1	-0.967132866
BCL2	-2.280979037
BDH1	-5.185345173
BID	1.406171739
BLMH	2.173780322
BLVRA	1.843817115
BMP4	1.813592136
BNIP3	3.074631572
BNIP3L	1.313206077
BPHL	-5.690343618
BRCA1	0.828181297
BTK	1.126841068
BUB1B	-0.516109712
C5	0.722279459
DDR1	1.121805012
CALM3	0.453122512
CALU	0.54007861
CAPN1	-0.090004593
CAST	-2.866122007
CASP2	-4.149718046
CASP3	-3.643215299
CASP7	0.971372545
CASP10	2.117330253
CAT	2.885107994
CBLB	-1.200451612
CBR1	1.531623363
CBR3	-0.73577109
CCNA2	-0.999229625
CCNB1	1.214353204
CCND3	-0.864298046
CCNF	0.367571861
CCNH	-0.366432473
SCARB1	0.255293518
CD40	-1.297337651
CD44	3.483891964
CD58	0.772660136
ADGRE5	1.593329668
CDK1	-0.58919695
CDC20	0.069689102
CDC25A	-5.210962772
CDC25B	1.290452421
CDC42	-6.066265583
CDH3	1.12417686
CDK2	-4.59983325
CDK4	2.513952911
CDK6	-0.832826763
CDK7	-0.102401018
CDKN1A	1.250811011
CDKN1B	5.280618429
CDKN2A	1.011107385
CEBPA	1.006075799
CEBPD	0.03458593
CENPE	1.783976614
CETN3	-2.186439753
CHEK1	1.760176122
CHN1	-2.436494708
CIRBP	0.419410586
CLTB	-0.256405681
CLTC	2.882911325
COL1A1	-0.150693301
COL4A1	-2.510299087
CREB1	0.022436351
CRK	-3.315005064
CRKL	1.414261818
CRYZ	0.725521514
CSK	-0.72897613
CSNK1A1	4.651746631
CSNK1E	-1.241954833
CSNK2A2	0.095940083
CSRP1	0.881441385
CTNND1	1.194380909
CTSD	1.329647243
CTSL	4.826170444
CYB561	-3.518708229
DAG1	0.418774843
DAXX	-1.408374548
DCK	-0.682248384
DCTD	0.854274631
DDB2	1.451259166
GADD45A	-1.996449053
DDX10	-1.449050367
DECR1	-1.427564383
DFFA	-1.154011488
DFFB	-2.785734951
DLD	1.812601432
DNM1	0.167772628
DNMT1	0.239678651
DNMT3A	1.515774846
DPH2	-0.454784364
DSG2	1.504555225
TSC22D3	1.835480556
DUSP3	3.244775534
DUSP4	-0.976356328
DUSP6	0.466837257
TOR1A	-0.145473346
E2F2	0.409272071
ECH1	2.261356592
EDN1	-2.205975533
EGF	-1.898181558
EGFR	2.275280595
EGR1	-1.167623222
EIF4EBP1	-0.423563674
EIF4G1	2.901905179
EIF5	2.228025675
ELAVL1	-0.272746906
CTTN	1.33457768
EPB41L2	0.712334558
EPHA3	1.488884687
EPHB2	-0.015027702
EPRS	0.856597751
NR2F6	-1.781883627
ERBB2	-0.304974079
ERBB3	3.077530384
ETFB	0.809767663
ETS1	2.372711539
ETV1	1.707703352
EXT1	-0.06843856
EZH2	-2.055391669
FAH	0.663601458
PTK2B	1.067901462
FAT1	-2.739326119
FDFT1	-0.003436044
FGFR2	-5.607718945
FGFR4	1.712497413
FHL2	2.037537992
FKBP4	-1.398764193
FOXO3	0.233587131
FOS	0.077646472
FPGS	1.202742994
FUT1	0.41722792
FYN	-2.112675905
SLC37A4	-0.527766004
GAA	3.440860748
GABPB1	-3.395548463
GALE	0.243535735
GAPDH	1.580884099
GATA2	-0.795918792
GATA3	-0.788029075
GFPT1	-4.648825049
GHR	-0.347070187
GLI2	1.99472031
GLRX	-1.396733582
GNA11	1.109687805
GNA15	0.420068622
GNAI1	-0.172159702
GNAI2	-0.603081405
GNAS	-0.100591168
SFN	0.711298063
GPC1	-5.410083771
GPER1	0.758360371
GRB7	-2.518912077
GRB10	-0.79091087
GRN	1.076275036
NR3C1	1.276413679
CXCL2	0.881678224
GSTM2	0.422786623
GSTZ1	-3.458979368
MSH6	0.620867044
GTF2A2	0.624615237
GTF2E2	-0.035372704
HSD17B10	-0.406874269
HADH	-0.155560993
HDAC2	0.883687854
HIF1A	1.80888474
HK1	0.283809112
HLA-DMA	0.98848787
HLA-DRA	0.042953968
HMGCR	-1.438614368
HMGCS1	1.519794226
HMOX1	0.485002518
HOXA5	1.859221935
HOXA10	-0.980078101
HPRT1	0.829349875
HES1	-2.893046856
DNAJB2	0.218658075
HSPA1A	-0.439125106
HSPA4	-0.066383898
HSPA8	2.114400685
HSPB1	1.780109167
HSPD1	2.743108153
DNAJB1	1.331433415
ICAM1	0.593598962
ICAM3	2.724376559
ID2	2.593195915
IDE	-1.583587766
IFNAR1	0.443722382
IGF1R	1.55117631
IGF2R	-2.931886077
IGFBP3	-2.012185812
IGHMBP2	0.196325332
IKBKB	-0.477996424
IL1B	1.55967921
IL4R	0.434937198
IL13RA1	-0.281673163
ILK	-3.482394814
INPP1	1.11970824
INSIG1	0.534639437
ITGAE	3.470821142
ITGB5	-0.369901642
JUN	-2.151238918
KCNK1	-1.081092238
KIF5C	1.496349752
KIT	0.83284688
KTN1	1.447735965
LAMA3	0.221254259
STMN1	1.161757916
LBR	1.989886522
LGALS8	1.600368381
LIG1	0.186440557
LIPA	-0.972031713
LOXL1	-3.046465993
LRPAP1	-0.253600251
LYN	-1.615010262
SMAD3	1.417281389
MAN2B1	0.787679166
MAT2A	1.007113934
MBNL1	8.092358351
MCM3	0.036367625
ME2	2.209961057
MEF2C	0.265545316
MAP3K4	-3.356251717
MEST	2.143555999
MIF	-0.80925712
FOXO4	-1.886567473
MMP1	-0.242215008
MMP2	2.465746641
MNAT1	-1.673063397
MSRA	-2.196577013
MUC1	-1.28370133
MYBL2	0.747541785
MYC	1.490520909
GADD45B	-0.179531433
MYLK	0.329363719
MYO10	-1.082624495
NCK1	0.917484581
NFATC3	-0.077250006
NFATC4	-0.010815561
NFE2L2	0.321947388
NFIL3	-3.186005235
NFKB2	-4.740054607
NFKBIA	-2.006877661
NFKBIB	1.384593934
NFKBIE	1.301308334
NIT1	-1.160366595
NMT1	1.50375101
NOS3	1.954322517
CNOT4	-2.023206472
NOTCH1	-1.388360597
PNP	-1.977742672
NPC1	2.342744231
SLC11A2	-1.17681092
NRAS	0.174691156
NUCB2	1.370982349
NUP88	-3.085363865
NVL	-3.181059837
ORC1	-0.136901513
OXA1L	-1.883857489
OXCT1	1.61123991
PAFAH1B1	3.034335732
PAFAH1B3	-0.133698948
SERPINE1	-0.047400284
PAK1	0.62221336
PCBD1	-0.911338687
PCCB	1.689536065
PCK2	-2.271296859
PCM1	-3.570660949
PCMT1	-3.42298317
PCNA	1.302870646
PDGFA	-0.345081538
PFKL	0.275602855
PGAM1	-0.457335263
PGM1	-0.891321748
PHKA1	0.157476947
PHKB	-3.688136697
PHKG2	-0.203889467
PIK3C2B	-4.071200252
PIK3C3	0.801753283
PIK3CA	0.702154577
PIN1	1.064345762
PLA2G4A	3.087547779
PLCB3	-1.004726559
PLK1	-0.56023711
PLP2	-0.243824285
PLS1	1.218152821
PLSCR1	1.257332578
PMAIP1	0.512878343
PMM2	-3.200615048
POLB	-5.733198166
POLE2	0.771973312
POLR2I	1.370551646
POLR2K	3.138814151
PPARD	0.553292584
PPARG	0.904947907
PPIC	-0.401776046
PPOX	1.929080009
PPP2R5A	1.631710172
PPP2R5E	2.255164444
PRCP	0.420618452
PRKACA	2.107007295
PRKCD	-0.488993555
PRKCH	0.326245546
PRKCQ	-5.711974859
MAPK9	1.767609656
MAPK13	-1.644612074
MAP2K5	0.185751319
PRKX	0.182030529
PROS1	-0.465035632
LGMN	-2.360258222
HTRA1	0.190381795
PSMB8	-0.292618558
PSMB10	-1.568273485
PSMD2	-1.164790094
PSMD4	-1.104749084
PSMD9	-1.117627978
PSMD10	0.921769604
PSME1	-1.154123366
PSME2	1.994121194
PTGS2	2.438692451
PTK2	0.486098409
PTPN1	0.408393651
PTPN6	-0.308761455
PTPN12	-3.32022953
PTPRC	0.435362577
PTPRF	-1.060698211
PTPRK	-1.817698061
PXMP2	-0.297148041
PXN	-1.655920088
PYCR1	0.855786055
PYGL	-0.239248797
RAB4A	2.081643134
RAB27A	3.451502919
RAC2	2.320766449
RAD9A	-0.920750767
RAD51C	0.535494395
MOK	-0.325219601
RALA	3.223373115
RALB	1.25184238
RALGDS	-2.012842298
RAP1GAP	-0.005520623
RASA1	0.693569511
RB1	6.764426231
KDM5A	3.369776011
RELB	3.695677996
RFC2	1.441568017
RFC5	-2.363823295
RFNG	1.472230643
RFX5	-0.260936178
RGS2	-3.209315419
RHEB	-5.879300594
RNH1	-3.156650782
RPA1	0.104866028
RPA2	1.097592771
RPA3	0.241685659
MRPL12	0.784088403
RPN1	2.083509564
RPS5	1.183110595
RPS6	1.979309618
RPS6KA1	2.120426774
RSU1	2.851733327
RTN2	0.46873472
S100A4	2.446929932
S100A13	0.045800447
SATB1	-0.374234989
SCP2	-0.806662783
CCL2	-0.417802855
SDHB	0.900631458
SGCB	-3.726420283
SHB	0.381098449
SHC1	0.246941328
SKIV2L	1.891345799
SKP1	0.538304016
SLC1A4	0.570577174
SMARCA4	2.153062701
SMARCC1	-1.299858212
SMARCD2	-3.294936657
SNAP25	2.550025105
SNCA	-1.492033243
SOX2	-0.426329777
SOX4	-2.369045973
SPAG4	-3.040149212
SPP1	2.463276744
SPR	1.206727505
SPTAN1	-2.008091271
SRC	1.623669624
STAT1	0.547781736
STAT3	3.537074208
STAT5B	2.05142206
AURKA	0.995464891
STK10	0.00981003
STX1A	-2.319339633
STX4	0.024290979
STXBP1	-1.809325993
STXBP2	0.071161963
SUPV3L1	0.912936598
SUV39H1	-0.042281352
SYK	0.146574989
SYPL1	-0.237114012
TARBP1	0.040190019
TBP	1.507494688
TBX2	-0.100526363
TBXA2R	1.812339067
TCEA2	-4.471857786
VPS72	1.351292193
TCTA	-0.322355062
DYNLT3	-2.350620389
TERT	-4.17921102
TESK1	2.690339804
TFAP2A	-0.08781147
TFDP1	4.689575434
TGFB3	-0.751938269
TGFBR2	0.362539232
TIAM1	2.107686102
TIMP2	0.402047999
TJP1	1.007383615
TLE1	1.695921659
TLR4	1.992915928
TSPAN6	0.838723361
TSPAN4	-4.612594843
TOP2A	-0.413707571
TP53	0.554750189
TP53BP1	3.153184652
TP53BP2	-4.259466648
TPD52L2	-0.456859708
TPM1	-1.547841132
TSTA3	-0.463292003
TXNRD1	2.134094238
UBE2A	-6.353633404
UGDH	-3.43039763
NR1H2	2.694684625
USP1	1.645153046
VDAC1	0.535798445
WFS1	-2.870362282
WRB	0.339924008
XBP1	1.000298142
XPNPEP1	-1.231018851
ZFP36	-3.104128957
ZNF131	1.529145658
ZMYM2	2.04906714
PAX8	-5.157875061
CXCR4	-0.880269319
IFRD2	0.865392357
MAPKAPK3	0.956145138
USP7	-3.242403626
REEP5	1.04839468
ST7	1.089252591
KAT6A	-0.234312341
PDHX	-0.878154278
FOSL1	0.290536195
HMGA2	-4.553251982
NCOA3	1.290340364
NRIP1	-5.035513639
SMC1A	-0.664480239
LAGE3	2.823743224
AXIN1	-0.64282541
CDC45	1.903943062
FZD1	2.123823225
FZD7	-4.750096798
HIST2H2BE	-0.248207599
PIP4K2B	-0.969105572
NCK2	-1.456366509
DYRK3	-3.233503699
DUSP11	-8.358831406
RAE1	-1.039308548
PIK3R3	-0.227050982
NIPSNAP1	1.102996148
IKBKAP	0.289402187
HAT1	0.792440735
MAPKAPK5	-4.043711662
BHLHE40	-1.214966863
MKNK1	-0.425738133
CASK	1.295217484
AKR7A2	0.567414045
RUVBL1	1.567333221
PSMG1	0.833191857
BECN1	3.736185431
MBTPS1	-0.124540024
EED	1.470874906
CTNNAL1	-0.592300385
RNMT	-0.821503878
PEX11A	0.303424299
CREG1	1.174730003
INPP4B	1.374711841
IQGAP1	0.449660718
SOCS2	-0.69057101
CFLAR	-3.04187274
CDK5R1	-0.338878691
ST3GAL5	1.908218384
IER3	1.296922356
SQSTM1	0.204579696
SLC5A6	-0.3309986
CPNE3	-0.076132357
CCNA1	1.550746977
TIMELESS	0.235694617
P4HA2	0.903563976
PLOD3	0.409705549
NOL3	-0.826706618
SLC25A14	2.576942921
MPZL1	-0.542554006
MAP7	1.187446028
DNAJA3	-3.362493992
USP14	-2.258862972
MTA1	0.491293624
PDLIM1	-2.433360934
SMC3	-0.079088688
PRPF4	-1.616368771
CCNB2	-3.265253067
CCNE2	-4.999169588
SYNGR3	2.681439281
LPAR2	-0.641195327
ARHGEF2	3.154581249
ZW10	0.020041078
AURKB	1.817924321
VAPB	-0.851428457
NOLC1	-0.409804255
UBE2L6	1.53417033
MAPKAPK2	1.619935811
CYTH1	-0.402519584
ITGB1BP1	-2.751752138
BCL7B	0.938126333
COPB2	-1.255047977
ADGRG1	-1.340039253
TM9SF2	1.50884676
MAP4K4	-0.222342258
HOMER2	-0.250014916
SH3BP5	0.796990931
PIGB	3.326037407
PSMF1	1.149418563
SPTLC2	-0.005784874
TBPL1	-1.829698861
BAG3	-1.197241187
POLR1C	-1.154789925
SPAG7	-2.331466734
FEZ2	-4.525985003
IKBKE	-4.372037649
MTFR1	-2.020304024
HS2ST1	0.950497389
IPO13	2.667766452
VGLL4	0.763735265
NUP93	2.075281024
UBE3C	1.488957047
EDEM1	-0.585167825
TRAM2	0.351507723
