Gene_Id	geldanamycin_HEPG2_24 h_10 µM
AARS	-6.247405344
ABCF1	1.708628366
ABL1	-4.217492174
ACAA1	0.57048364
ACAT2	-0.089315302
ACLY	1.73993752
ADAM10	-4.011981824
ADH5	-1.244258733
PARP1	-4.15817743
ADRB2	2.823695412
AGL	0.938789103
AKT1	0.234487636
ALAS1	1.970124319
ALDOA	-2.840963377
ALDOC	0.377870904
SLC25A4	-0.550404986
ANXA7	0.778522278
APBB2	-0.193357479
BIRC2	-1.650854729
BIRC5	0.797398369
APOE	1.168364386
APP	-4.86677638
FAS	-1.622254171
RHOA	1.210118559
ARHGAP1	0.478536513
ASAH1	-0.415050772
ATF1	2.878620493
ATP1B1	-4.323948521
ALDH7A1	0.085766287
ATP6V0B	-2.522913624
BAD	-0.651250651
BAX	2.078553215
CCND1	-0.890036672
BCL2	0.322225724
BDH1	-4.603285975
BID	1.746276966
BLMH	2.307733776
BLVRA	1.671113783
BMP4	2.824305639
BNIP3	1.312618831
BNIP3L	1.367500078
BPHL	-5.324969826
BRCA1	2.091801566
BTK	0.623780067
BUB1B	-0.204721279
C5	0.515800268
DDR1	2.165026566
CALM3	0.837259621
CALU	0.355850313
CAPN1	1.188045601
CAST	-1.908123324
CASP2	-2.600205963
CASP3	-4.663896285
CASP7	0.175392958
CASP10	3.021982692
CAT	3.261325024
CBLB	-1.905954005
CBR1	2.09920965
CBR3	-1.257982736
CCNA2	-1.49788013
CCNB1	1.190872634
CCND3	-1.597931864
CCNF	-1.097506515
CCNH	0.701759321
SCARB1	1.26690927
CD40	-0.61361834
CD44	2.15184941
CD58	-0.494596253
ADGRE5	3.262313461
CDK1	-0.108436159
CDC20	-0.132844173
CDC25A	-5.556256949
CDC25B	0.829947153
CDC42	-4.572201823
CDH3	0.773050305
CDK2	-4.344168092
CDK4	1.838573481
CDK6	0.382865887
CDK7	-0.443545969
CDKN1A	2.073143202
CDKN1B	3.126769702
CDKN2A	1.962875646
CEBPA	1.542025319
CEBPD	0.364868846
CENPE	1.038410291
CETN3	-2.569228917
CHEK1	1.163686544
CHN1	-2.018448214
CIRBP	0.703587688
CLTB	0.118279077
CLTC	1.798988659
COL1A1	-0.299528339
COL4A1	-1.574958104
CREB1	-0.752301302
CRK	-4.519486682
CRKL	1.226975046
CRYZ	0.491514428
CSK	-1.42906927
CSNK1A1	2.164397274
CSNK1E	-0.716965769
CSNK2A2	0.424499377
CSRP1	0.861241353
CTNND1	1.070371724
CTSD	1.183911246
CTSL	5.069494713
CYB561	-3.698777739
DAG1	0.376008082
DAXX	-1.289286352
DCK	-1.655998441
DCTD	1.001914726
DDB2	0.478124397
GADD45A	-1.66075657
DDX10	-0.753539199
DECR1	-2.674585714
DFFA	-0.466478439
DFFB	-1.6970306
DLD	0.653739068
DNM1	-0.251799122
DNMT1	-1.208284688
DNMT3A	2.403303637
DPH2	0.05558708
DSG2	1.322856952
TSC22D3	-0.330650895
DUSP3	3.445085007
DUSP4	-0.400559504
DUSP6	-0.239505845
TOR1A	-0.850340442
E2F2	-0.1338662
ECH1	1.071704431
EDN1	-1.042148907
EGF	-1.09205163
EGFR	1.355729063
EGR1	-0.751004974
EIF4EBP1	0.102601214
EIF4G1	2.376025303
EIF5	2.603966831
ELAVL1	0.041173569
CTTN	1.165066557
EPB41L2	-0.018895923
EPHA3	1.015182251
EPHB2	-0.837256402
EPRS	0.703609665
NR2F6	0.015277226
ERBB2	-0.08354111
ERBB3	2.918181566
ETFB	1.581153899
ETS1	1.971269419
ETV1	1.598257344
EXT1	0.343289859
EZH2	-2.574691643
FAH	0.636218984
PTK2B	2.185108466
FAT1	-1.956777695
FDFT1	0.281955326
FGFR2	-3.975764045
FGFR4	0.994896738
FHL2	-0.110589446
FKBP4	-2.064927487
FOXO3	-1.252071833
FOS	0.526483697
FPGS	-0.291291279
FUT1	-0.054790466
FYN	-1.36183653
SLC37A4	-0.244648319
GAA	2.014284704
GABPB1	-4.245932993
GALE	-0.777857948
GAPDH	1.380282066
GATA2	-0.433310786
GATA3	0.330418472
GFPT1	-5.129941996
GHR	-1.683975479
GLI2	0.678137223
GLRX	-1.324909227
GNA11	0.95494644
GNA15	1.058496071
GNAI1	-0.678606648
GNAI2	-0.558246811
GNAS	-0.267350026
SFN	1.140722725
GPC1	-6.8503186
GPER1	1.653888322
GRB7	-1.969928295
GRB10	-4.362314057
GRN	1.227408727
NR3C1	0.735452277
CXCL2	0.974146762
GSTM2	0.384511078
GSTZ1	-3.67669006
MSH6	0.981145095
GTF2A2	0.555883555
GTF2E2	0.064917193
HSD17B10	-0.463294465
HADH	-0.234662717
HDAC2	0.698198398
HIF1A	1.589421222
HK1	0.402521915
HLA-DMA	1.091328705
HLA-DRA	-1.366982934
HMGCR	-1.561960549
HMGCS1	1.63114784
HMOX1	0.762420827
HOXA5	2.04825063
HOXA10	-0.602871602
HPRT1	1.513178323
HES1	-1.964668068
DNAJB2	0.316888915
HSPA1A	0.327427619
HSPA4	-0.438628602
HSPA8	2.088000511
HSPB1	2.139474213
HSPD1	1.121653612
DNAJB1	1.322202181
ICAM1	1.198903177
ICAM3	3.054866085
ID2	2.25783548
IDE	-0.96719498
IFNAR1	0.6380308
IGF1R	1.856133593
IGF2R	-3.264992653
IGFBP3	-1.10022823
IGHMBP2	-0.048766158
IKBKB	1.143665766
IL1B	1.581132086
IL4R	-0.475276008
IL13RA1	-0.202949144
ILK	-3.217154904
INPP1	1.479465213
INSIG1	1.548772844
ITGAE	3.36245546
ITGB5	-1.194223319
JUN	-3.742409577
KCNK1	-0.108636536
