Gene_Id	mitomycin-c_HCC515_6 h_10 µM
AARS	0.511564165
ABCF1	-0.254439503
ABL1	-0.159838334
ACAA1	1.272655766
ACAT2	-0.472263724
ACLY	1.409482062
ADAM10	0.003514603
ADH5	1.362575412
PARP1	-0.224769324
ADRB2	0.639123023
AGL	-0.296028793
AKT1	-1.58960849
ALAS1	-0.537330121
ALDOA	-0.739271536
ALDOC	-0.947382614
SLC25A4	-1.036314771
ANXA7	0.996457621
APBB2	-1.891549632
BIRC2	0.364792168
BIRC5	0.216824174
APOE	0.268793225
APP	-0.572727084
FAS	0.586018205
RHOA	-1.05850175
ARHGAP1	0.392536506
ASAH1	0.05513303
ATF1	0.21978268
ATP1B1	0.761815518
ALDH7A1	-1.474510729
ATP6V0B	0.207736045
BAD	0.071468979
BAX	1.36024341
CCND1	0.970338002
BCL2	0.409294575
BDH1	-1.447539985
BID	1.045114756
BLMH	0.535133779
BLVRA	0.557921141
BMP4	-1.157495826
BNIP3	-0.345928624
BNIP3L	-0.521874212
BPHL	0.264086172
BRCA1	-2.932186514
BTK	-0.49661684
BUB1B	-0.299338043
C5	0.80124861
DDR1	-2.44787094
CALM3	-1.04399538
CALU	-0.215588853
CAPN1	-0.504321918
CAST	0.655397601
CASP2	-0.12201402
CASP3	0.605597824
CASP7	0.112159658
CASP10	-0.297082469
CAT	-0.225437105
CBLB	1.07273671
CBR1	0.539125234
CBR3	-0.555639565
CCNA2	0.269236878
CCNB1	0.733698994
CCND3	0.602780059
CCNF	0.000530273
CCNH	0.865089685
SCARB1	-1.32710129
CD40	0.362195581
CD44	0.872040987
CD58	0.089825667
ADGRE5	-0.898995697
CDK1	0.196677776
CDC20	-0.78986448
CDC25A	0.093121335
CDC25B	0.403388828
CDC42	-1.665371507
CDH3	-0.047999382
CDK2	0.362955868
CDK4	-2.616563708
CDK6	0.371383905
CDK7	2.65801359
CDKN1A	-0.564749926
CDKN1B	1.798514545
CDKN2A	-0.276737586
CEBPA	0.112395074
CEBPD	0.415565073
CENPE	-0.25796663
CETN3	-0.272091657
CHEK1	-0.2582829
CHN1	0.244184256
CIRBP	0.048799433
CLTB	0.562276118
CLTC	-0.635065228
COL1A1	0.381084591
COL4A1	0.494425282
CREB1	-0.691440612
CRK	-1.167676963
CRKL	0.019513369
CRYZ	0.27327776
CSK	0.040872578
CSNK1A1	-0.185355306
CSNK1E	-0.259805836
CSNK2A2	-1.23253414
CSRP1	-1.725941002
CTNND1	-0.786917329
CTSD	0.519247264
CTSL	0.609778047
CYB561	0.117040366
DAG1	-0.469870038
DAXX	1.02517727
DCK	-0.319050431
DCTD	-0.525642291
DDB2	0.017465863
GADD45A	1.047309428
DDX10	0.425641194
DECR1	0.202439249
DFFA	-0.325388175
DFFB	-0.106449485
DLD	-0.224052414
DNM1	0.015503854
DNMT1	-0.265863165
DNMT3A	1.72821863
DPH2	-0.047693461
DSG2	0.038984597
TSC22D3	0.586463451
DUSP3	-0.94900775
DUSP4	-0.314156003
DUSP6	-0.132040381
TOR1A	-0.196374521
E2F2	-1.425599992
ECH1	-2.448208913
EDN1	0.331967965
EGF	0.372031257
EGFR	-2.131621122
EGR1	-0.114409029
EIF4EBP1	-0.009485349
EIF4G1	-0.03841576
EIF5	-0.47666329
ELAVL1	-0.761706486
CTTN	0.648181349
EPB41L2	-0.12509501
EPHA3	-0.641739264
EPHB2	-0.365258753
EPRS	0.247050919
NR2F6	-1.62383464
ERBB2	1.156041712
ERBB3	0.090987086
ETFB	-1.369524062
ETS1	0.664558366
ETV1	-0.57547754
EXT1	-0.539821774
EZH2	-0.408704564
FAH	-1.016324431
PTK2B	0.207612723
FAT1	1.200015575
FDFT1	-0.400344908
FGFR2	-0.560804717
FGFR4	2.12306425
FHL2	0.07563895
FKBP4	-0.445377335
FOXO3	0.464068681
FOS	-0.776297532
FPGS	0.590574294
FUT1	-0.513821125
FYN	0.108348027
SLC37A4	-0.814763211
GAA	-0.384884149
GABPB1	0.506803513
GALE	-0.144091256
GAPDH	0.089685202
GATA2	-0.749148726
GATA3	-0.488470577
GFPT1	0.862332284
GHR	0.22367242
GLI2	0.32951574
GLRX	0.342766672
GNA11	0.004314274
GNA15	0.195689991
GNAI1	-1.50454846
GNAI2	3.403667912
GNAS	0.266706586
SFN	0.293441415
GPC1	1.438192189
GPER1	0.003188014
GRB7	0.584393978
GRB10	0.331174016
GRN	-0.098402306
NR3C1	-1.304364599
CXCL2	0.135916561
GSTM2	-2.080738544
GSTZ1	0.063205242
MSH6	-0.433209762
GTF2A2	-1.037867427
GTF2E2	-0.620534897
HSD17B10	-0.336858615
HADH	0.242669195
HDAC2	0.704897605
HIF1A	-0.118743449
HK1	0.20362106
HLA-DMA	-0.160627544
HLA-DRA	1.419220731
HMGCR	0.97657042
HMGCS1	-1.603300899
HMOX1	-1.083551526
HOXA5	-0.123595223
HOXA10	0.084651142
HPRT1	0.056437269
HES1	-0.070038527
DNAJB2	0.583565623
HSPA1A	0.280951709
HSPA4	-0.05895544
HSPA8	1.210643321
HSPB1	-0.102339059
HSPD1	0.302736536
DNAJB1	1.022704184
ICAM1	-0.186875716
ICAM3	-0.989169195
ID2	-1.244119227
IDE	2.462836415
IFNAR1	0.198551096
IGF1R	-0.549147703
IGF2R	-1.186720729
IGFBP3	-0.557202458
IGHMBP2	-0.979652852
IKBKB	0.994648501
IL1B	0.460788324
IL4R	-1.645757854
IL13RA1	-0.124620542
ILK	0.538383245
INPP1	-0.758514628
INSIG1	0.304186217
ITGAE	-1.801946998
ITGB5	-0.322221592
JUN	-0.124956012
KCNK1	0.088866591
KIF5C	-1.130147606
KIT	-0.163033843
KTN1	-1.302791595
LAMA3	0.310039736
STMN1	0.037450507
LBR	-0.074138582
LGALS8	-0.406479865
LIG1	-1.569485039
LIPA	0.137132473
LOXL1	0.194868118
LRPAP1	-0.647940427
LYN	-1.125039198
SMAD3	-0.404794991
MAN2B1	0.569133759
