Gene_Id	quercetin_HEPG2_6 h_10 µM
AARS	-0.733883142
ABCF1	-0.009345584
ABL1	-0.798104882
ACAA1	-2.612932205
ACAT2	0.703403234
ACLY	1.185400486
ADAM10	-0.617212296
ADH5	0.046392247
PARP1	0.574063003
ADRB2	-1.214814782
AGL	-0.589430213
AKT1	-5.364051819
ALAS1	0.799463868
ALDOA	-0.776983678
ALDOC	-0.698859692
SLC25A4	1.15982008
ANXA7	0.702824831
APBB2	-0.687240958
BIRC2	0.598701537
BIRC5	-0.759212732
APOE	-1.054926276
APP	-1.022740483
FAS	0.456708699
RHOA	-1.092491388
ARHGAP1	0.707970202
ASAH1	-1.3510077
ATF1	-0.479204327
ATP1B1	2.704090118
ALDH7A1	0.560663223
ATP6V0B	-0.387139708
BAD	1.841038942
BAX	1.708105445
CCND1	0.17661567
BCL2	0.587170601
BDH1	-2.956611156
BID	0.344603032
BLMH	0.225479126
BLVRA	-0.213539794
BMP4	-2.500705481
BNIP3	0.29006663
BNIP3L	-0.260729253
BPHL	-0.823809683
BRCA1	-1.039140582
BTK	-0.008477997
BUB1B	-1.266862035
C5	0.186441183
DDR1	-1.818172574
CALM3	0.173418343
CALU	-0.11412704
CAPN1	-0.478565216
CAST	-0.66971451
CASP2	-3.195977449
CASP3	1.129649401
CASP7	0.421496868
CASP10	-0.328291655
CAT	-1.54620719
CBLB	-0.842415392
CBR1	0.293495208
CBR3	-0.199402452
CCNA2	-0.817430854
CCNB1	1.228147864
CCND3	-0.694523573
CCNF	-0.741984606
CCNH	0.97658205
SCARB1	0.341712147
CD40	-0.319650531
CD44	0.596432149
CD58	0.496688664
ADGRE5	0.228884473
CDK1	-0.612751544
CDC20	-0.121561728
CDC25A	-0.609094203
CDC25B	-1.553478241
CDC42	-0.127027526
CDH3	-0.980486631
CDK2	-0.867613196
CDK4	-1.004930019
CDK6	1.63020134
CDK7	2.052354574
CDKN1A	0.144464046
CDKN1B	0.927605629
CDKN2A	-0.220796138
CEBPA	-2.408287048
CEBPD	-0.348231465
CENPE	-3.614206791
CETN3	0.424176872
CHEK1	-0.313855529
CHN1	0.068399161
CIRBP	0.232500628
CLTB	-0.287981361
CLTC	-0.228106901
COL1A1	3.512946129
COL4A1	-0.318054914
CREB1	0.029966533
CRK	-1.240272403
CRKL	1.256686211
CRYZ	-1.135025978
CSK	-0.899214029
CSNK1A1	-0.287247956
CSNK1E	-0.223929882
CSNK2A2	1.122587204
CSRP1	-1.299945354
CTNND1	0.861166239
CTSD	-1.732511997
CTSL	-0.209071189
CYB561	0.259171546
DAG1	-0.276538193
DAXX	0.425931066
DCK	-0.856116295
DCTD	-0.53644985
DDB2	0.28439647
GADD45A	-1.172899365
DDX10	-0.607695222
DECR1	0.070435978
DFFA	-1.578850269
DFFB	-2.388218403
DLD	0.755113542
DNM1	1.151898384
DNMT1	-0.354135275
DNMT3A	-0.779302478
DPH2	-1.47958982
DSG2	-3.087398052
TSC22D3	-1.081288457
DUSP3	0.272030115
DUSP4	-0.159269765
DUSP6	-0.377936304
TOR1A	-0.537838936
E2F2	-1.001774192
ECH1	-0.618297696
EDN1	0.134357318
EGF	-3.789884329
EGFR	0.869150758
EGR1	-0.195756167
EIF4EBP1	-0.112584069
EIF4G1	1.042555213
EIF5	-0.570317566
ELAVL1	-0.212974116
CTTN	-1.443340302
EPB41L2	-1.266988993
EPHA3	0.479464322
EPHB2	1.937374234
EPRS	-1.472530603
NR2F6	-0.070475377
ERBB2	-0.378043443
ERBB3	1.209521294
ETFB	1.635497332
ETS1	0.122430727
ETV1	0.049934365
EXT1	-0.243142381
EZH2	0.939990759
FAH	-0.867937148
PTK2B	-0.052618701
FAT1	1.173181415
FDFT1	-0.993870139
FGFR2	1.273047686
FGFR4	3.265923023
FHL2	0.62396884
FKBP4	-0.226096243
FOXO3	1.016983151
FOS	0.424351662
FPGS	-1.028925657
FUT1	0.16676496
FYN	0.930557609
SLC37A4	0.161896363
GAA	0.390674353
GABPB1	-0.27759409
GALE	2.060432911
GAPDH	1.04116118
GATA2	1.896307707
GATA3	0.832663834
GFPT1	1.127193213
GHR	0.907935083
GLI2	0.143262327
GLRX	-0.873405159
GNA11	1.365003586
GNA15	1.033140183
GNAI1	0.592312992
GNAI2	-0.353009194
GNAS	0.9901613
SFN	0.535117626
GPC1	-1.668100834
GPER1	-1.898450851
GRB7	-0.54708755
GRB10	1.496565819
GRN	-0.654976249
NR3C1	-0.459783852
CXCL2	0.550472021
GSTM2	-0.525371194
GSTZ1	-0.867573202
MSH6	-4.180282116
GTF2A2	-2.952259541
GTF2E2	-0.69454515
HSD17B10	-1.009919524
HADH	-0.127573267
HDAC2	0.724764347
HIF1A	0.32366389
HK1	-0.477315247
HLA-DMA	0.527398348
HLA-DRA	-3.645619869
HMGCR	-0.390080899
HMGCS1	0.760609329
HMOX1	2.019824266
HOXA5	1.335072279
HOXA10	-1.030963898
HPRT1	1.202655315
HES1	-0.912272036
DNAJB2	0.134268284
HSPA1A	-1.393260956
HSPA4	-2.699703217
HSPA8	-0.105950385
HSPB1	-1.04033494
HSPD1	-2.05525732
DNAJB1	-0.162777305
ICAM1	0.482096016
ICAM3	-0.446885943
ID2	1.047930717
IDE	3.113235474
IFNAR1	1.797951698
IGF1R	-1.276848912
IGF2R	-0.625240862
IGFBP3	-0.53266114
IGHMBP2	0.125394091
IKBKB	-0.97104162
IL1B	1.004183888
IL4R	0.828272581
IL13RA1	0.534567356
ILK	-0.597374737
INPP1	-0.82016176
INSIG1	-0.598259747
ITGAE	0.052240744
ITGB5	-1.087488651
JUN	0.599750221
KCNK1	1.306088567
KIF5C	2.726899862
KIT	-0.859074295
KTN1	3.130738497
LAMA3	-0.584133804
STMN1	0.387740731
LBR	0.943726897
LGALS8	1.590018392
LIG1	-0.367973566
LIPA	-0.276759595
LOXL1	-3.555109978
LRPAP1	-0.864815474
LYN	-1.822315693
SMAD3	1.032751083
MAN2B1	0.382048011
MAT2A	1.278052092
MBNL1	-2.10150671
MCM3	-0.675095558
ME2	1.417051077
MEF2C	-1.154127717
MAP3K4	-0.404460013
MEST	0.378501654
MIF	-1.179717898
FOXO4	0.575320959
MMP1	-0.059604108
MMP2	-1.163736582
MNAT1	0.543934584
MSRA	-0.512002468
MUC1	-1.929715872
MYBL2	-0.45242697
MYC	0.458944738
GADD45B	1.367151618
MYLK	0.624007344
MYO10	-1.275574684
NCK1	-0.532590985
NFATC3	-1.920073748
NFATC4	-0.447114944
NFE2L2	1.5243752
NFIL3	-0.289396882
NFKB2	-0.871944368
NFKBIA	-0.076867357
NFKBIB	0.086894639
NFKBIE	0.130325705
