Gene_Id	radicicol_HEPG2_24 h_0.12 um
AARS	-1.955004692
ABCF1	-0.488232702
ABL1	-1.158557057
ACAA1	0.385291904
ACAT2	-0.017182345
ACLY	1.208520532
ADAM10	-1.358083367
ADH5	0.772331655
PARP1	-2.447384834
ADRB2	0.756369174
AGL	0.466163427
AKT1	-0.195575967
ALAS1	-0.946228445
ALDOA	-1.756946325
ALDOC	-2.114424229
SLC25A4	0.701281905
ANXA7	-0.073395625
APBB2	-1.547228694
BIRC2	-1.94358778
BIRC5	0.323711336
APOE	-0.554608464
APP	-2.20113349
FAS	-0.512555718
RHOA	0.283349186
ARHGAP1	-1.07312119
ASAH1	0.602219522
ATF1	0.501131952
ATP1B1	0.545110106
ALDH7A1	-0.227376968
ATP6V0B	-0.519192815
BAD	-1.608074546
BAX	1.543011546
CCND1	-1.400671124
BCL2	3.49836421
BDH1	-1.168796182
BID	0.928517997
BLMH	1.121502638
BLVRA	-0.05178833
BMP4	0.801351964
BNIP3	1.35982573
BNIP3L	-0.448680371
BPHL	-1.479948044
BRCA1	0.939592779
BTK	0.251804769
BUB1B	0.507723927
C5	0.756223083
DDR1	3.204186678
CALM3	0.475929439
CALU	-0.054022364
CAPN1	0.614871025
CAST	0.028610535
CASP2	-1.147585869
CASP3	0.640916884
CASP7	-0.040523343
CASP10	1.111035705
CAT	-0.772973835
CBLB	-0.201787531
CBR1	-0.583188951
CBR3	-0.671833932
CCNA2	0.282106698
CCNB1	-0.718296468
CCND3	-0.828932285
CCNF	-0.627022386
CCNH	-1.661618829
SCARB1	-0.331953704
CD40	-0.263695121
CD44	-0.435654759
CD58	0.720163226
ADGRE5	1.180248976
CDK1	-0.489746869
CDC20	-0.442184418
CDC25A	0.374339551
CDC25B	0.47009328
CDC42	-1.014163136
CDH3	0.825025856
CDK2	-0.86039561
CDK4	0.824265838
CDK6	0.163021281
CDK7	-0.300614536
CDKN1A	2.274448156
CDKN1B	0.133170694
CDKN2A	0.882908225
CEBPA	0.702242017
CEBPD	0.368648916
CENPE	0.668345809
CETN3	-0.572885334
CHEK1	0.912073553
CHN1	-0.638756514
CIRBP	0.871804655
CLTB	0.962875366
CLTC	-0.129850447
COL1A1	-0.035859771
COL4A1	0.469965905
CREB1	-2.020058393
CRK	-1.384308577
CRKL	-0.686924636
CRYZ	1.313928008
CSK	-1.633026719
CSNK1A1	-2.478103638
CSNK1E	-0.593619227
CSNK2A2	-0.077441357
CSRP1	1.450883627
CTNND1	-0.639960051
CTSD	-1.13619411
CTSL	0.802721381
CYB561	-0.856985927
DAG1	-0.564779043
DAXX	-0.686627507
DCK	0.078839853
DCTD	0.059966043
DDB2	-0.759094357
GADD45A	-0.669232726
DDX10	-0.000542261
DECR1	-1.633885741
DFFA	1.334231138
DFFB	0.471871734
DLD	1.7620821
DNM1	0.33984822
DNMT1	-1.069696784
DNMT3A	-0.818328977
DPH2	-1.267493367
DSG2	0.890359163
TSC22D3	0.277457803
DUSP3	0.943032145
DUSP4	-1.3348037
DUSP6	-0.785562515
TOR1A	0.735039234
E2F2	0.696868479
ECH1	1.008726001
EDN1	0.198211193
EGF	0.374755949
EGFR	-0.372232288
EGR1	-0.189935908
EIF4EBP1	0.421897739
EIF4G1	-0.699881136
EIF5	1.079261661
ELAVL1	-0.214584202
CTTN	0.980226159
EPB41L2	1.18024683
EPHA3	0.383173376
EPHB2	0.268813878
EPRS	2.194839001
NR2F6	0.75204283
ERBB2	0.525408447
ERBB3	-0.465979278
ETFB	0.199398756
ETS1	2.386797667
ETV1	-0.896591127
EXT1	-0.040457398
EZH2	-1.289720178
FAH	0.741870463
PTK2B	1.17620647
FAT1	0.170324892
FDFT1	0.251230299
FGFR2	0.037236497
FGFR4	0.183536947
FHL2	0.165267155
FKBP4	-0.705117583
FOXO3	-0.424423218
FOS	-0.660039961
FPGS	-4.17223835
FUT1	0.508201957
FYN	-0.303751707
SLC37A4	-0.630572379
GAA	-0.993581712
GABPB1	-0.558553874
GALE	0.035091847
GAPDH	-0.146419093
GATA2	0.304000229
GATA3	-0.781434417
GFPT1	0.41687572
GHR	0.052920155
GLI2	-0.342499465
GLRX	-1.041546226
GNA11	1.146922946
GNA15	-0.372195065
GNAI1	-0.09449441
GNAI2	0.153156683
GNAS	0.807078302
SFN	0.814878941
GPC1	-1.309893966
GPER1	0.065348364
GRB7	0.861702681
GRB10	0.00991087
GRN	0.543845713
NR3C1	-0.118454292
CXCL2	2.443806887
GSTM2	-0.240989849
GSTZ1	-0.572381437
MSH6	-0.119069755
GTF2A2	-0.222493112
GTF2E2	-0.586379945
HSD17B10	0.008520726
HADH	-0.192052782
HDAC2	0.387765199
HIF1A	-0.066063695
HK1	-0.010202087
HLA-DMA	-0.257457614
HLA-DRA	-0.597508609
HMGCR	-0.127168432
HMGCS1	-0.476402849
HMOX1	0.634168506
HOXA5	0.95498383
HOXA10	0.24992758
HPRT1	-1.289943576
HES1	-0.962832928
DNAJB2	0.841275692
HSPA1A	0.951860666
HSPA4	-1.421039224
HSPA8	0.998898745
HSPB1	1.06987977
HSPD1	0.455305994
DNAJB1	0.12324997
ICAM1	-0.87038058
ICAM3	-0.149858281
ID2	0.393639028
IDE	0.124402404
IFNAR1	-0.461273849
IGF1R	0.323060155
IGF2R	-0.246685922
IGFBP3	0.508433759
IGHMBP2	0.55843401
IKBKB	0.615995705
IL1B	0.853725851
IL4R	-0.252688646
IL13RA1	-0.818231642
ILK	0.769004285
INPP1	0.201308072
INSIG1	1.842670202
ITGAE	0.458931416
ITGB5	0.310783356
JUN	-1.048547626
KCNK1	-0.647283494
KIF5C	0.796190023
KIT	0.263779908
KTN1	0.718438923
LAMA3	2.826587677
STMN1	-0.491842389
LBR	-1.526263118
LGALS8	3.621702671
LIG1	0.904527366
LIPA	-0.241419435
LOXL1	0.496779352
LRPAP1	0.462595761
LYN	0.780416429
SMAD3	-0.626284599
MAN2B1	-1.020513654
MAT2A	-0.935597956
MBNL1	-0.49175778
MCM3	1.933945894
ME2	-0.884822249
MEF2C	9.780895233
MAP3K4	0.2454561
MEST	-0.485462457
MIF	-0.125976965
FOXO4	-0.585605919
MMP1	0.01859488
MMP2	-0.20719929
MNAT1	0.238800779
MSRA	1.106650829
MUC1	0.398282647
MYBL2	-0.305806756
MYC	4.487836361
GADD45B	-0.265580505
MYLK	-0.473885566
MYO10	1.186352611
NCK1	1.093509912
NFATC3	-1.186097622
NFATC4	1.368574739
NFE2L2	-0.157728001
NFIL3	0.69893378
NFKB2	-0.791481435
NFKBIA	-0.81937474
NFKBIB	1.584708452
NFKBIE	1.04447782
NIT1	-1.144741297
NMT1	-4.794733047
NOS3	-0.708454907
CNOT4	1.272459984
NOTCH1	-2.413584471
PNP	-0.689373612
NPC1	0.102319151
SLC11A2	-1.291192293
NRAS	0.547271073
NUCB2	-1.231206656
NUP88	-0.234826937
NVL	-2.757404804
ORC1	4.892679691
OXA1L	-1.832687378
OXCT1	-0.402626187
PAFAH1B1	0.904160023
PAFAH1B3	-0.750212669
SERPINE1	0
PAK1	-1.286077023
PCBD1	0.999665201
PCCB	-0.72352767
PCK2	-0.056776859
PCM1	-2.261243105
PCMT1	0.518135965
PCNA	-0.290488482
PDGFA	0.844060004
PFKL	-0.637509465
PGAM1	-0.321747512
PGM1	-0.201268733
PHKA1	-0.416283578
PHKB	0.009088842
PHKG2	-0.40260002
PIK3C2B	-1.373504162
PIK3C3	0.251096278
PIK3CA	-0.258365512
PIN1	0.880556047
PLA2G4A	0.394509554
PLCB3	0.505130053
PLK1	-0.618041337
PLP2	0.636107504
PLS1	0.377998054
PLSCR1	0.849017143
PMAIP1	-0.719823003
PMM2	-0.322702169
POLB	0.25091666
POLE2	-0.15146558
POLR2I	-0.542360783
POLR2K	2.060988426
PPARD	-0.002546804
PPARG	0.659023821
PPIC	1.077773929
PPOX	-0.071796902
PPP2R5A	-1.282123089
PPP2R5E	-0.431396067
PRCP	0.653378189
PRKACA	0.36627546
PRKCD	0.434895605
PRKCH	-0.194094613
PRKCQ	-1.691087723
MAPK9	0.778467059
MAPK13	0.557813942
MAP2K5	0.038350679
PRKX	-0.798870802
PROS1	-0.199515611
LGMN	-1.065420151
HTRA1	0.193170488
PSMB8	-0.179465026
PSMB10	-0.978049159
PSMD2	-0.664313138
PSMD4	-1.910048842
PSMD9	-0.697476149
PSMD10	0.436846018
PSME1	4.035521984
PSME2	0.08826752
PTGS2	0.258639157
PTK2	-1.638080835
PTPN1	0.618795097
PTPN6	0.705271959
PTPN12	-2.649556875
PTPRC	0.409765452
PTPRF	0.51090765
PTPRK	0.062054373
PXMP2	0.832989752
PXN	-0.184916601
PYCR1	2.264167547
PYGL	-0.62523663
RAB4A	-0.915290654
RAB27A	-0.541194558
RAC2	0.298912287
RAD9A	0.472223818
RAD51C	-0.425505251
MOK	-0.337465614
RALA	-0.638796687
RALB	-1.68859148
RALGDS	0.041209511
RAP1GAP	0.998005807
RASA1	1.419347644
RB1	-0.404380828
KDM5A	0.069900997
RELB	0.206167296
RFC2	3.091918707
RFC5	-0.47466442
RFNG	1.82138133
RFX5	-1.408324599
RGS2	0.866093993
RHEB	0.111368775
RNH1	0.501187146
RPA1	-0.336765468
RPA2	-1.002403498
RPA3	0.050224215
MRPL12	0.22476463
RPN1	0.467585146
RPS5	-0.683128417
RPS6	0.17290315
RPS6KA1	0.185987845
RSU1	0.831579149
RTN2	-0.052220538
S100A4	0.072116032
S100A13	-0.190251231
SATB1	-0.321421236
SCP2	1.983431935
CCL2	0.806734443
SDHB	-1.841023088
SGCB	-0.854471803
SHB	0.753623962
SHC1	0.221086904
SKIV2L	-0.453114271
SKP1	0.146986753
SLC1A4	-0.163320854
SMARCA4	0.219829336
SMARCC1	0.394938171
SMARCD2	-0.905481577
SNAP25	-0.085104257
SNCA	0.007866672
SOX2	0.406368673
SOX4	1.277530551
SPAG4	-0.191417143
SPP1	-0.504538119
SPR	0.37522006
SPTAN1	0.54845649
SRC	0.791791022
STAT1	-0.314908236
STAT3	0.702763319
STAT5B	-0.865935922
AURKA	0.523325622
STK10	-0.839966536
STX1A	-0.612741649
STX4	0.201415971
STXBP1	-0.897023737
STXBP2	1.541309476
SUPV3L1	-1.180305243
SUV39H1	-0.303021014
SYK	-0.705875695
SYPL1	-0.959178686
TARBP1	0.033896834
TBP	0.221759811
TBX2	2.30095005
TBXA2R	-0.537696302
TCEA2	0.055424064
VPS72	0.035185061
TCTA	0.279296219
DYNLT3	-0.524347305
TERT	-0.534659505
TESK1	3.147190094
TFAP2A	4.136380196
TFDP1	0.719930887
TGFB3	-0.172347665
TGFBR2	0.608039141
TIAM1	0.97214359
TIMP2	0.573559523
TJP1	-0.509993672
TLE1	0.996521533
TLR4	-0.565563858
TSPAN6	-0.260697365
TSPAN4	0.856435001
TOP2A	1.111657858
TP53	-0.075452104
TP53BP1	1.047409534
TP53BP2	-1.734421492
TPD52L2	-0.012622586
TPM1	-0.604835868
TSTA3	-0.623283267
TXNRD1	-0.391420752
UBE2A	0.408585399
UGDH	1.372245908
NR1H2	0.18530269
USP1	1.639320135
VDAC1	-1.255524635
WFS1	-0.352484792
WRB	-0.231232464
XBP1	0.828030288
XPNPEP1	0.236362502
ZFP36	-4.521407604
ZNF131	-0.395880133
ZMYM2	-0.029768908
PAX8	-2.004559517
CXCR4	0.440604955
IFRD2	-0.59644866
MAPKAPK3	-1.084133148
USP7	-0.445016623
REEP5	0.274778664
ST7	-0.946106136
KAT6A	0.820148885
PDHX	-0.452309102
FOSL1	-0.30087024
HMGA2	-1.949628353
NCOA3	-0.134903789
NRIP1	-1.494153142
SMC1A	-0.632346928
LAGE3	0.714052558
AXIN1	-0.276819706
CDC45	0.368172795
FZD1	0.636982143
FZD7	-1.665124774
HIST2H2BE	0.862010956
PIP4K2B	-3.803371429
NCK2	-0.354557931
DYRK3	-0.297203064
DUSP11	-0.627177358
RAE1	0.581537902
PIK3R3	-0.307509899
NIPSNAP1	0.908361018
IKBKAP	-0.449244946
HAT1	-1.030575395
MAPKAPK5	0.195978358
BHLHE40	-0.206652731
MKNK1	0.377215236
CASK	0.044225693
AKR7A2	0.099274121
RUVBL1	-0.08337494
PSMG1	-0.335828066
BECN1	0.293481618
MBTPS1	1.811018109
EED	-4.491500854
CTNNAL1	-0.550444067
RNMT	0.242180139
PEX11A	-0.437406778
CREG1	0.792975426
INPP4B	0.251893818
IQGAP1	-0.741135478
SOCS2	-0.084113851
CFLAR	0.640216827
CDK5R1	-0.539390564
ST3GAL5	0.085107796
IER3	0.256231397
SQSTM1	0.042656764
SLC5A6	1.00815177
CPNE3	0.600561023
CCNA1	-0.988874435
TIMELESS	0.748695493
P4HA2	-0.764967203
PLOD3	0.068075746
NOL3	4.201263905
SLC25A14	-0.055668168
MPZL1	0.384285659
MAP7	-0.631694019
DNAJA3	0.25496453
USP14	-0.173229426
MTA1	-0.929048717
PDLIM1	-0.420438707
SMC3	-0.742486596
PRPF4	-0.630107939
CCNB2	0.91296339
CCNE2	-1.168348789
SYNGR3	1.302776575
LPAR2	0.281120032
ARHGEF2	-0.231537923
ZW10	1.397221446
AURKB	0.7562024
VAPB	-0.291188896
NOLC1	-1.325364351
UBE2L6	-0.137693062
MAPKAPK2	0.039930537
CYTH1	0.45003131
ITGB1BP1	-0.138880834
BCL7B	-1.047050118
COPB2	0.376184881
ADGRG1	0.636164188
TM9SF2	0.224286571
MAP4K4	0.858176529
HOMER2	-0.705888629
SH3BP5	-4.750900745
PIGB	-0.14270696
PSMF1	-1.729568601
SPTLC2	3.471983671
TBPL1	-0.765255749
BAG3	-0.857033849
POLR1C	0.120757759
SPAG7	-0.345449865
FEZ2	-0.379801184
IKBKE	0.01016889
MTFR1	0.38256672
HS2ST1	0.50171262
IPO13	-1.007875323
VGLL4	-0.400240064
NUP93	2.361630917
UBE3C	-0.059035681
EDEM1	0.207426935
