Gene_Id	radicicol_HEPG2_6 h_10 µM
AARS	-1.533400059
ABCF1	1.566300035
ABL1	-0.149650007
ACAA1	1.559000015
ACAT2	0.383549988
ACLY	1.112050056
ADAM10	-0.787899971
ADH5	1.363749981
PARP1	0.441200018
ADRB2	0.225500017
AGL	-0.925249994
AKT1	-0.997749984
ALAS1	0.706399977
ALDOA	-0.260949999
ALDOC	-1.120200038
SLC25A4	3.98484993
ANXA7	1.4654001
APBB2	0.815750003
BIRC2	-0.635249972
BIRC5	-2.30885005
APOE	-0.913850009
APP	-0.58829999
FAS	-1.030849934
RHOA	-0.358350009
ARHGAP1	0.44235
ASAH1	-0.834249973
ATF1	0.729299963
ATP1B1	0.753800035
ALDH7A1	0.493650019
ATP6V0B	1.117150068
BAD	0.122299999
BAX	2.754050016
CCND1	-2.476449966
BCL2	2.52944994
BDH1	-1.637400031
BID	-1.344499946
BLMH	-0.962050021
BLVRA	-0.338149995
BMP4	-1.758200049
BNIP3	-1.929549932
BNIP3L	2.157899857
BPHL	-0.095200002
BRCA1	0.131049991
BTK	-0.326299995
BUB1B	-1.018649936
C5	-0.257100016
DDR1	-0.329400003
CALM3	0.562349975
CALU	-1.42505002
CAPN1	-1.211799979
CAST	-1.227149963
CASP2	-2.629400015
CASP3	-0.809099972
CASP7	-0.710600019
CASP10	-5.159649849
CAT	3.170400143
CBLB	-1.60529995
CBR1	-0.469750047
CBR3	-0.99849999
CCNA2	-0.742900014
CCNB1	-0.507500052
CCND3	-0.2315
CCNF	0.401800007
CCNH	-0.372000009
SCARB1	0.490250021
CD40	0.536949992
CD44	-0.513549984
CD58	-3.42595005
ADGRE5	-0.341149986
CDK1	-1.46815002
CDC20	1.307800055
CDC25A	-1.283200026
CDC25B	-0.27245
CDC42	-2.468950033
CDH3	0.086350009
CDK2	0.017200001
CDK4	-0.763599992
CDK6	0.612349987
CDK7	1.768749952
CDKN1A	-0.329699993
CDKN1B	0.673399985
CDKN2A	1.851799965
CEBPA	0.226800025
CEBPD	-0.296649992
CENPE	-1.752249956
CETN3	-0.152799994
CHEK1	0.568650007
CHN1	0.188549995
CIRBP	-1.966650009
CLTB	0.195700005
CLTC	0.920799971
COL1A1	-0.131100029
COL4A1	-1.028149962
CREB1	-1.089050055
CRK	-1.518100023
CRKL	0.387300014
CRYZ	-2.451900005
CSK	-1.167500019
CSNK1A1	-0.320199996
CSNK1E	-0.03675
