Gene_Id	spiperone_HEPG2_24 h_10 µM
AARS	-5.00798893
ABCF1	2.402371407
ABL1	0.728515744
ACAA1	-0.21107313
ACAT2	0.083359599
ACLY	-0.281574458
ADAM10	-2.215717793
ADH5	-0.186977908
PARP1	-2.643372297
ADRB2	0.78319639
AGL	-0.306314647
AKT1	-5.669201851
ALAS1	0.139725357
ALDOA	-2.120331287
ALDOC	-3.600294828
SLC25A4	3.035564423
ANXA7	2.023781061
APBB2	0.109093748
BIRC2	-1.305581331
BIRC5	-1.206587195
APOE	2.178336859
APP	-2.770142794
FAS	0.899865389
RHOA	-0.425614119
ARHGAP1	1.431482434
ASAH1	-1.04992485
ATF1	1.1134727
ATP1B1	2.419568777
ALDH7A1	-0.512910485
ATP6V0B	5.010742188
BAD	-0.597552001
BAX	0.51061058
CCND1	-2.735790491
BCL2	0.326794624
BDH1	-2.189496517
BID	-3.332817554
BLMH	0.400383502
BLVRA	0.930814385
BMP4	-0.877737045
BNIP3	0.899065614
BNIP3L	0.009848982
BPHL	0.191007927
BRCA1	-3.573400497
BTK	-0.713157415
BUB1B	0.34885478
C5	0.392835706
DDR1	-0.326602757
CALM3	0.933473945
CALU	-2.747520924
CAPN1	-0.522779942
CAST	-0.814903378
CASP2	-0.882987499
CASP3	-0.57117331
CASP7	-1.843229771
CASP10	-5.126200676
CAT	5.01820755
CBLB	0.089292079
CBR1	0.544974208
CBR3	0.848675609
CCNA2	-0.596209705
CCNB1	1.811881542
CCND3	0.864538372
CCNF	-1.831064343
CCNH	-0.387901425
SCARB1	1.570055842
CD40	0.570402503
CD44	1.334842801
CD58	0.16285868
ADGRE5	1.394233704
CDK1	-0.666746199
CDC20	-1.442065597
CDC25A	-1.830596924
CDC25B	2.341849327
CDC42	-1.031621695
CDH3	0.217001021
CDK2	0.501802742
CDK4	-1.715102077
CDK6	2.367281437
CDK7	1.124022722
CDKN1A	-0.472749352
CDKN1B	1.552583694
CDKN2A	0.071313702
CEBPA	1.093927383
CEBPD	-1.258789182
CENPE	-1.322300315
CETN3	-0.415972948
CHEK1	-4.266552448
CHN1	-1.068121791
CIRBP	-0.337511182
CLTB	0.837591588
CLTC	-1.306442976
COL1A1	0.660297155
COL4A1	2.27132535
CREB1	1.541691542
CRK	2.782446623
CRKL	-0.379463226
CRYZ	-2.361031532
CSK	-5.184749126
CSNK1A1	1.166354775
CSNK1E	-0.11475043
CSNK2A2	2.471979618
CSRP1	-4.704566956
CTNND1	-1.079276681
CTSD	-2.487169266
CTSL	2.248107433
CYB561	-1.504748583
DAG1	0.573526263
DAXX	-2.254475117
DCK	-2.436226606
DCTD	1.472992659
DDB2	0.375442505
GADD45A	-1.195346951
DDX10	-0.981098771
DECR1	0.249729395
DFFA	-2.305680513
DFFB	-2.287798882
DLD	0.805372357
DNM1	1.824653864
DNMT1	-1.614265323
DNMT3A	-0.041041508
DPH2	0.512900829
DSG2	0.599880636
TSC22D3	0.86007762
DUSP3	-0.43066299
DUSP4	1.356208801
DUSP6	0.33200556
TOR1A	-0.591909766
E2F2	0.661059558
ECH1	0.519374907
EDN1	-0.266060174
EGF	-2.401986837
EGFR	-0.302143931
EGR1	-0.238539249
EIF4EBP1	0.318119705
EIF4G1	-0.925507069
EIF5	-1.80300951
ELAVL1	-0.587500036
CTTN	-2.309508324
EPB41L2	-0.3388035
EPHA3	-0.563255131
EPHB2	0.702685833
EPRS	0.867006838
NR2F6	-1.187005281
ERBB2	1.050273299
ERBB3	0.12214607
ETFB	-2.280935049
ETS1	1.635341287
ETV1	3.545897007
EXT1	-0.917533338
EZH2	1.959225059
FAH	-1.769364834
PTK2B	-0.436453223
FAT1	-2.751980066
FDFT1	-0.850830197
FGFR2	-4.39080286
FGFR4	1.338567019
FHL2	3.531167507
FKBP4	-1.809178472
FOXO3	0.57875073
FOS	-1.658494711
FPGS	-0.075809285
FUT1	-0.851858318
FYN	-1.365454197
SLC37A4	-2.048815966
GAA	-0.569777012
GABPB1	0.711490095
GALE	2.090080976
GAPDH	9.363883018
GATA2	-0.178117633
GATA3	-0.106534302
GFPT1	1.552860022
GHR	-0.480492055
GLI2	-0.495303869
GLRX	-3.1946702
GNA11	1.784574032
GNA15	0.117602706
GNAI1	4.321362495
GNAI2	4.871949196
GNAS	1.434109688
SFN	0.45359683
GPC1	2.022610188
GPER1	-1.387812257
GRB7	1.110436201
GRB10	0.651613116
GRN	0.136631906
NR3C1	-1.893864989
CXCL2	2.649776936
GSTM2	0.116742134
GSTZ1	2.088039398
MSH6	-1.25364089
GTF2A2	-3.122759342
GTF2E2	-5.231973648
HSD17B10	-2.024036884
HADH	-0.000239036
HDAC2	1.410636663
HIF1A	1.192436576
HK1	0.444745332
HLA-DMA	1.882595539
HLA-DRA	-0.386055946
HMGCR	-0.670125306
HMGCS1	-0.432578176
HMOX1	0.818474054
HOXA5	1.793776274
HOXA10	-0.146845251
HPRT1	-0.676789403
HES1	-8.675591469
DNAJB2	2.281609058
HSPA1A	0.642151058
HSPA4	-4.096738815
HSPA8	-0.568737984
HSPB1	1.347818732
HSPD1	-0.629316688
DNAJB1	1.861963034
ICAM1	0.245165259
ICAM3	-1.523899913
ID2	1.677403688
IDE	0.777446687
IFNAR1	3.638464928
IGF1R	0.323398173
IGF2R	3.150779724
IGFBP3	-3.755664587
IGHMBP2	0.554467201
IKBKB	-1.388260722
IL1B	-1.451944828
IL4R	0.346223593
IL13RA1	-1.103264093
ILK	2.367623806
INPP1	1.809126735
INSIG1	-2.727470636
ITGAE	-3.258437634
ITGB5	-0.868576407
JUN	1.583637476
KCNK1	0.376687646
KIF5C	-0.602512956
KIT	1.637543201
KTN1	0.017956972
LAMA3	1.288575649
STMN1	0.944957495
LBR	3.308636189
LGALS8	1.178654432
LIG1	1.711989403
LIPA	0.303190947
LOXL1	1.476205826
LRPAP1	-1.669517756
LYN	0.044867773
SMAD3	1.631534576
MAN2B1	-0.687148809
MAT2A	2.644112587
MBNL1	1.001366258
MCM3	-3.257754326
ME2	1.62103641
MEF2C	-1.517656207
MAP3K4	-0.154001862
MEST	0.669083238
MIF	1.830324888
FOXO4	-2.059476137
MMP1	-0.812617242
MMP2	0.546990573
MNAT1	-2.773076057
MSRA	-2.272746563
MUC1	-1.459227324
MYBL2	1.447284341
MYC	4.23832655
GADD45B	-1.584962606
MYLK	0.841039002
MYO10	-0.87877667
NCK1	0.640363693
NFATC3	-3.058179617
NFATC4	1.740837812
NFE2L2	1.120090842
NFIL3	-2.401792526
NFKB2	1.424320817
NFKBIA	-1.610122681
NFKBIB	1.043257236
NFKBIE	1.012502432
NIT1	-1.308773041
NMT1	0.640407443
NOS3	0.640637517
CNOT4	0.879172206
NOTCH1	-3.22348237
PNP	-3.201021433
NPC1	1.54169178
SLC11A2	1.311678886
NRAS	0.268953443
NUCB2	-0.008478463
NUP88	2.304720879
NVL	-3.22637701
ORC1	-0.205890968
OXA1L	-1.555719376
OXCT1	0.361114442
PAFAH1B1	0.318703651
PAFAH1B3	-1.596422195
SERPINE1	-1.730895877
PAK1	0.812773407
PCBD1	-0.666223228
PCCB	0.856219113
PCK2	2.068706512
PCM1	0.888481796
PCMT1	-0.132266819
PCNA	4.515707016
PDGFA	1.045068264
PFKL	2.306031704
PGAM1	-1.603839993
PGM1	-1.300789237
PHKA1	-0.209369928
PHKB	0.090397716
PHKG2	0.877235949
PIK3C2B	0.872873902
PIK3C3	5.372476101
PIK3CA	0.103206068
PIN1	-0.283645511
PLA2G4A	0.467822105
PLCB3	0.292555988
PLK1	-0.396521389
PLP2	0.684907377
PLS1	-1.0131253
PLSCR1	-1.542808652
PMAIP1	-2.327754974
PMM2	0.439681292
POLB	2.18593955
POLE2	-1.216444135
POLR2I	1.609149337
POLR2K	1.217657447
PPARD	-3.972858906
PPARG	-0.509994149
PPIC	4.119033813
PPOX	-0.261750937
PPP2R5A	-2.239378214
PPP2R5E	0.655498981
PRCP	4.343259811
PRKACA	-0.818099141
PRKCD	-0.791166008
PRKCH	0.647850037
PRKCQ	0.569520593
MAPK9	0.19774884
MAPK13	-1.012613058
MAP2K5	-0.620335698
PRKX	0.428391755
PROS1	-1.066282868
LGMN	-1.762481332
HTRA1	-0.99368012
PSMB8	0.482618481
PSMB10	0.453312486
PSMD2	-1.449232817
PSMD4	-0.731862247
PSMD9	-1.417283773
PSMD10	2.76838398
PSME1	-0.186323926
PSME2	0.302081794
PTGS2	1.286149502
PTK2	0.061627857
PTPN1	-1.022033811
PTPN6	0.213517785
PTPN12	-6.545905113
PTPRC	-2.626029491
PTPRF	1.045266747
PTPRK	-0.888908029
PXMP2	-1.003512263
PXN	1.439721942
PYCR1	0.225997865
PYGL	-0.129911467
