Gene_Id	temozolomide_HEPG2_6 h_10 µM
AARS	0.390659034
ABCF1	7.010721207
ABL1	0.253162026
ACAA1	1.140812635
ACAT2	-1.839463949
ACLY	0.976217508
ADAM10	0.122361317
ADH5	-0.228015825
PARP1	0.164389223
ADRB2	0.529296756
AGL	0.5154109
AKT1	0.395067245
ALAS1	-1.055433035
ALDOA	-0.9908427
ALDOC	0.353645563
SLC25A4	0.750187814
ANXA7	-0.450236797
APBB2	-0.185614794
BIRC2	0.366963446
BIRC5	0.725329638
APOE	0.217917353
APP	0.355856419
FAS	0.530461907
RHOA	0.061786119
ARHGAP1	-0.282262117
ASAH1	0.225477338
ATF1	0.171501637
ATP1B1	-0.09308029
ALDH7A1	-0.49110496
ATP6V0B	-0.086275049
BAD	0.062226743
BAX	-0.261595339
CCND1	-0.06624873
BCL2	-0.251162708
BDH1	0.01160761
BID	-1.53266263
BLMH	-0.39358741
BLVRA	2.712307692
BMP4	0.49205482
BNIP3	-1.194539666
BNIP3L	-0.328590155
BPHL	-0.226395264
BRCA1	-0.207951427
BTK	0.3662045
BUB1B	0.293159902
C5	-0.97367084
DDR1	0.641623318
CALM3	-0.203099519
CALU	0.600267053
CAPN1	-0.270356268
CAST	0.334400296
CASP2	0.263582587
CASP3	0.187599421
CASP7	6.459882736
CASP10	-0.278382599
CAT	-0.909597456
CBLB	0.798864305
CBR1	0.502864778
CBR3	0.337051332
CCNA2	0.582863629
CCNB1	0.274493575
CCND3	-0.556144357
CCNF	0.399527878
CCNH	0.007904142
SCARB1	-0.134924352
CD40	0.202203438
CD44	-0.285809696
CD58	0.345057756
ADGRE5	0.355681479
CDK1	0.03037475
CDC20	-0.824183226
CDC25A	-0.243238419
CDC25B	0.380174339
CDC42	0.014247298
CDH3	-0.514978826
CDK2	0.267467797
CDK4	0.318418443
CDK6	-0.404477954
CDK7	-0.151793987
CDKN1A	0.410414875
CDKN1B	0.026814312
CDKN2A	-0.420876503
CEBPA	0.072990492
CEBPD	0.779354215
CENPE	-0.255306154
CETN3	0.724865437
CHEK1	-0.090870202
CHN1	0.322432399
CIRBP	1.124708295
CLTB	0.121749699
CLTC	-0.477501899
COL1A1	0.419542193
COL4A1	0.624479055
CREB1	0.657560825
CRK	1.521227479
CRKL	-0.579829037
CRYZ	0.614051819
CSK	0.192156062
CSNK1A1	0.783920407
CSNK1E	-0.228090405
CSNK2A2	-0.290639818
CSRP1	0.999455571
CTNND1	-0.689693332
CTSD	-0.132310346
CTSL	-0.346741587
CYB561	0.020028494
DAG1	0.361256331
DAXX	0.572593689
DCK	0.560064197
DCTD	1.340645671
DDB2	-0.093952045
GADD45A	0.707118273
DDX10	0.45141685
DECR1	-0.228892997
DFFA	-0.059613109
DFFB	0.429758549
DLD	-0.216448799
DNM1	-0.510909617
DNMT1	0.6548329
DNMT3A	0.131679818
DPH2	0.303717047
DSG2	0.62636137
TSC22D3	-0.078056641
DUSP3	-0.209584743
DUSP4	-0.270735979
DUSP6	-1.018386006
TOR1A	0.427746922
E2F2	-0.923821568
ECH1	0.557229638
EDN1	0.716647089
EGF	1.396861315
EGFR	-0.483802021
EGR1	-0.679654062
EIF4EBP1	0.293202639
EIF4G1	-0.519774795
EIF5	0.054623127
ELAVL1	0.848939538
CTTN	0.279383808
EPB41L2	-0.259403586
