Gene_Id	tert-butylhydroquinone_JURKAT_24 h_100 nM
AARS	0.257906497
ABCF1	-0.091556385
ABL1	0.008359618
ACAA1	-2.978457928
ACAT2	1.227491379
ACLY	0.510344505
ADAM10	0.23924388
ADH5	0.550923526
PARP1	0.523547232
ADRB2	-0.461334527
AGL	0.009441599
AKT1	-0.538249731
ALAS1	-0.433924258
ALDOA	0.284064263
ALDOC	0.288453102
SLC25A4	0.045884311
ANXA7	0.044334933
APBB2	0.092150837
BIRC2	0.500406682
BIRC5	-2.529160023
APOE	0.196930826
APP	0.914190531
FAS	-0.287667692
RHOA	0.077890158
ARHGAP1	-0.421798527
ASAH1	0.164494872
ATF1	0.23987937
ATP1B1	0.478871554
ALDH7A1	0.186194152
ATP6V0B	-0.091630921
BAD	0.054486245
BAX	0.659261823
CCND1	-0.399060816
BCL2	-0.08968854
BDH1	0.001039721
BID	-0.170694098
BLMH	-0.884678245
BLVRA	0.305830181
BMP4	-0.89956522
BNIP3	0.410050005
BNIP3L	0.236916453
BPHL	0.738521039
BRCA1	-0.398560226
BTK	-0.535969496
BUB1B	-1.612265944
C5	-0.028645111
DDR1	3.936519623
CALM3	0.554340601
CALU	-0.434697926
CAPN1	0.326415688
CAST	0.121449061
CASP2	-0.407493711
CASP3	-0.257440597
CASP7	-0.289442956
CASP10	0.473627001
CAT	-0.133980826
CBLB	-0.259654105
CBR1	-0.615916371
CBR3	-0.013392225
CCNA2	-0.087367453
CCNB1	-0.417605668
CCND3	0.251147091
CCNF	0.659588695
CCNH	-0.428391516
SCARB1	-0.404069602
CD40	0.390936732
CD44	-0.074402004
CD58	0.561458409
ADGRE5	-0.070479371
CDK1	0.094635084
CDC20	-0.499796003
CDC25A	-0.10325712
CDC25B	-0.353692561
CDC42	-0.959036827
CDH3	-0.119687021
CDK2	-0.022139596
CDK4	0.264428675
CDK6	-0.578601241
CDK7	-0.059888884
CDKN1A	2.121953011
CDKN1B	0.041576941
CDKN2A	-1.221930742
CEBPA	0.123954326
CEBPD	0.434351951
CENPE	0.022042796
CETN3	0.227379426
CHEK1	-0.082329191
CHN1	-0.079870105
CIRBP	0.03739655
CLTB	1.214837074
CLTC	0.071134187
COL1A1	-0.212204024
COL4A1	0.429996848
