Gene_Id	tert-butylhydroquinone_JURKAT_24 h_3 µM
AARS	-0.071497843
ABCF1	0.371480063
ABL1	0.695004076
ACAA1	-0.024473861
ACAT2	0.151529849
ACLY	-0.806068867
ADAM10	0.613037407
ADH5	-0.099722281
PARP1	0.866215378
ADRB2	0.014466181
AGL	0.271699131
AKT1	-1.117704481
ALAS1	-0.441688389
ALDOA	-0.150307357
ALDOC	-0.83852138
SLC25A4	0.414783463
ANXA7	0.916326553
APBB2	0.684916863
BIRC2	-1.621052563
BIRC5	-0.454438925
APOE	0.053002689
APP	-2.179009296
FAS	-0.246090472
RHOA	0.856534988
ARHGAP1	0.26385802
ASAH1	0.251869842
ATF1	-0.22470659
ATP1B1	0.00136447
ALDH7A1	-0.296639238
ATP6V0B	-1.178981304
BAD	-0.699568063
BAX	0.420588255
CCND1	0.198530391
BCL2	-0.308469474
BDH1	-1.47483331
BID	-0.060439616
BLMH	0.776150763
BLVRA	0.237149104
BMP4	-0.245928898
BNIP3	-0.857821971
BNIP3L	-0.438610017
BPHL	-0.347190797
BRCA1	-0.348245367
BTK	0.852836907
BUB1B	-0.267351806
C5	-0.556571379
DDR1	0.910439014
CALM3	0.752513729
CALU	0.904487483
CAPN1	-0.433959365
CAST	-0.235167451
CASP2	1.01749599
CASP3	0.753126778
CASP7	0.235513218
CASP10	-0.121429428
CAT	-0.197644711
CBLB	0.52688691
CBR1	-0.317660168
CBR3	-0.441078391
CCNA2	0.144496188
CCNB1	-0.066183954
CCND3	-0.461049005
CCNF	-0.331183568
CCNH	-1.12779066
SCARB1	1.013663873
CD40	-1.739895746
CD44	-0.390163682
CD58	-0.064586639
ADGRE5	0.504567243
CDK1	-0.555329569
CDC20	-0.123112261
CDC25A	-0.979791746
CDC25B	1.016585417
CDC42	-0.20279349
CDH3	-0.459035143
CDK2	-0.21951472
CDK4	-2.853378981
CDK6	-0.248081118
CDK7	-0.457870357
CDKN1A	0.130046308
CDKN1B	0.085783236
CDKN2A	0.320775468
CEBPA	-0.799650729
CEBPD	0.118076593
CENPE	0.597143993
CETN3	0.013889976
CHEK1	-0.713689417
CHN1	-1.318574488
CIRBP	0.466781482
CLTB	-0.247043088
CLTC	0.014965624
COL1A1	0.012052447
COL4A1	-0.383532345
CREB1	-0.455226645
CRK	-0.429123968
CRKL	0.498532832
CRYZ	0.825634509
CSK	0.09264145
CSNK1A1	-0.990926802
CSNK1E	0.330856845
CSNK2A2	1.174262851
CSRP1	0.229476884
CTNND1	-0.138364963
CTSD	-0.035954885
CTSL	0.157327503
CYB561	-0.662326619
DAG1	0.059431091
DAXX	-0.251464918
DCK	-0.429171316
DCTD	-0.054562926
DDB2	-0.558962271
GADD45A	-0.225730956
DDX10	-0.255996034
DECR1	-0.079645244
DFFA	-0.44482689
DFFB	-0.059807524
DLD	1.010535464
DNM1	-0.336214125
DNMT1	-0.986156434
DNMT3A	0.022272117
DPH2	0.699241623
DSG2	-0.033765236
TSC22D3	-0.737712502
DUSP3	-0.285747848
DUSP4	-0.073934585
DUSP6	0.361304224
TOR1A	-0.94373852
E2F2	0.043005764
ECH1	-0.524078518
EDN1	1.235411286
EGF	0.603105575
EGFR	0.816210985
EGR1	0.090258628
EIF4EBP1	-0.42238228
EIF4G1	-0.382955551
EIF5	-1.000227809
ELAVL1	-0.71089527
CTTN	0.157652013
EPB41L2	-0.728426635
EPHA3	-0.85954155
EPHB2	0.003150105
EPRS	0.013710976
NR2F6	-0.507195324
ERBB2	-0.072771907
ERBB3	-0.42497015
ETFB	0.047259763
ETS1	1.118435979
ETV1	1.412219882
EXT1	0.948231235
EZH2	-0.508986488
FAH	0.702083975
PTK2B	0.617166668
FAT1	-0.403622091
FDFT1	-1.000676095
FGFR2	0.547214568
FGFR4	-0.712559238
FHL2	-0.436102897
FKBP4	-0.205365822
FOXO3	0.078935876
FOS	0.426420704
FPGS	-1.120762974
FUT1	-0.762084007
FYN	-0.392009586
SLC37A4	0.615691185
GAA	0.028862283
GABPB1	-0.739015788
GALE	-0.430224337
GAPDH	0.891858518
GATA2	-0.295758903
GATA3	1.230302662
GFPT1	-0.400188386
GHR	-2.670238316
GLI2	1.089169189
GLRX	-0.417535976
GNA11	0.331186354
GNA15	-0.373553213
GNAI1	1.757412553
GNAI2	-0.266212776
GNAS	0.364890523
SFN	0.3183676
GPC1	-0.585031942
GPER1	-0.000366777
GRB7	-0.316144288
GRB10	-0.909655005
GRN	0.377128527
NR3C1	-1.723329782
CXCL2	-0.318522468
GSTM2	0.649379164
GSTZ1	-0.382902756
MSH6	0.317935392
GTF2A2	-0.162260704
GTF2E2	0.871181145
HSD17B10	-0.289975312
HADH	0.077931315
HDAC2	0.298118234
HIF1A	-0.142184399
HK1	0.138747573
HLA-DMA	0.327415066
HLA-DRA	-0.765680283
HMGCR	-0.01064685
HMGCS1	-0.104350306
HMOX1	-1.133481354
HOXA5	-1.088439196
HOXA10	0.07856115
HPRT1	0.704658285
HES1	-0.068100601
DNAJB2	0.14506571
HSPA1A	-0.684209973
HSPA4	0.416138075
HSPA8	0.011212006
HSPB1	-0.269258976
HSPD1	0.301554706
DNAJB1	0.85611026
ICAM1	-1.539174497
ICAM3	-0.299800098
ID2	-0.40326184
IDE	-0.684889622
IFNAR1	2.26679334
IGF1R	-0.568023592
IGF2R	-0.088811815
