Gene_Id	thapsigargin_HEPG2_6 h_10 µM
AARS	-4.179234505
ABCF1	-0.500050187
ABL1	-1.196878672
ACAA1	0.227760136
ACAT2	0.164377928
ACLY	1.497882485
ADAM10	0.097124957
ADH5	-0.486645341
PARP1	-2.054375648
ADRB2	-1.012356758
AGL	-1.440482855
AKT1	-1.620635629
ALAS1	0.884240866
ALDOA	-1.608181238
ALDOC	0.162467092
SLC25A4	1.93010509
ANXA7	2.109380722
APBB2	-1.085206509
BIRC2	-0.382649243
BIRC5	-3.263119698
APOE	-0.821329057
APP	-2.335909367
FAS	-0.067575753
RHOA	-1.26865387
ARHGAP1	1.346788645
ASAH1	-0.992527246
ATF1	2.231422186
ATP1B1	1.440698028
ALDH7A1	-1.278159738
ATP6V0B	2.479540825
BAD	-0.117898151
BAX	0.208763719
CCND1	-0.152970016
BCL2	-0.215061933
BDH1	-4.446444511
BID	-0.141390607
BLMH	0.997546196
BLVRA	-0.33192271
BMP4	-1.29150176
BNIP3	0.630741239
BNIP3L	0.040559933
BPHL	0.585244119
BRCA1	-2.258458614
BTK	-0.878967524
BUB1B	-0.013204724
C5	-0.127803221
DDR1	0.556265235
CALM3	0.953907728
CALU	-1.552484035
CAPN1	-1.297333002
CAST	-2.402717113
CASP2	-0.094577447
CASP3	-0.120013937
CASP7	1.775988817
CASP10	-1.366158605
CAT	3.760903358
CBLB	1.101264715
CBR1	1.046456695
CBR3	-1.170661211
CCNA2	-1.227138877
CCNB1	0.412188292
CCND3	-0.758366883
CCNF	-0.542183876
CCNH	0.035747975
SCARB1	-0.825896323
CD40	0.821557343
CD44	1.417511582
CD58	0.08065176
ADGRE5	-0.533836126
CDK1	-1.82092762
CDC20	-0.131225318
CDC25A	-0.700949848
CDC25B	3.199432135
CDC42	-1.290973663
CDH3	1.209077239
CDK2	-1.059365988
CDK4	-1.219360471
CDK6	0.041688249
CDK7	2.791242838
CDKN1A	-0.711374283
CDKN1B	1.209878325
CDKN2A	1.046737432
CEBPA	-0.218226045
CEBPD	-2.077172041
CENPE	-0.71051681
CETN3	-0.313670963
CHEK1	-1.024025083
CHN1	-0.298692614
CIRBP	-1.014274836
CLTB	-0.761838675
CLTC	1.971096039
COL1A1	-1.272442698
COL4A1	-1.087941527
CREB1	1.638368249
CRK	-0.63313055
CRKL	0.690378606
CRYZ	-0.044872612
CSK	-2.540602684
CSNK1A1	1.619089842
CSNK1E	2.12304163
CSNK2A2	3.750535488
CSRP1	-4.909049034
CTNND1	1.136455178
CTSD	-0.989378035
CTSL	-0.604480028
CYB561	-0.88496089
DAG1	1.1466043
DAXX	1.21796155
DCK	0.676395595
DCTD	-0.089120604
DDB2	-0.474857807
GADD45A	-2.016480923
DDX10	-1.810200095
DECR1	2.309524536
DFFA	-1.1631248
DFFB	-1.123365879
DLD	1.133386374
DNM1	1.561186552
DNMT1	-2.157313824
DNMT3A	-0.22336401
DPH2	-0.578939438
DSG2	0.69848603
TSC22D3	-0.823706388
DUSP3	-0.897870779
DUSP4	-0.494805783
DUSP6	-0.273153543
TOR1A	-0.389240742
E2F2	-0.970837235
ECH1	-1.470678091
EDN1	-0.559277952
EGF	-0.901946425
EGFR	1.633324146
EGR1	1.872615337
EIF4EBP1	0.669285059
EIF4G1	0.344780236
EIF5	-1.174701214
ELAVL1	-2.028039932
CTTN	-2.265581369
EPB41L2	2.043822289
EPHA3	0.684851944
EPHB2	1.335180044
EPRS	0.372366518
NR2F6	-1.375747919
ERBB2	0.130985901
ERBB3	0.549486995
ETFB	0.564660668
ETS1	-0.688555717
ETV1	1.916180491
EXT1	-0.998931646
EZH2	2.470533133
FAH	-2.759883404
PTK2B	0.54356128
FAT1	-1.637588739
FDFT1	-0.767768979
FGFR2	-2.393355131
FGFR4	-1.135159016
FHL2	0.42663154
FKBP4	-1.460655093
FOXO3	0.635564625
FOS	0.070498347
FPGS	-1.348186731
FUT1	0.27290225
FYN	2.157342434
SLC37A4	-0.927785873
GAA	0.31269151
GABPB1	1.268897295
GALE	0.156309426
GAPDH	3.393302917
GATA2	0.72276026
GATA3	1.262126088
GFPT1	1.427556753
GHR	-0.221496448
GLI2	-0.524137378
GLRX	-1.612535596
GNA11	1.385630488
GNA15	1.845196247
GNAI1	0.497346163
GNAI2	2.638355255
GNAS	3.190834522
SFN	-0.280499518
GPC1	2.163002968
GPER1	-0.493861318
GRB7	-2.341076612
GRB10	0.607587337
GRN	-1.190183282
NR3C1	-3.343143463
CXCL2	0.096583344
GSTM2	1.00326097
GSTZ1	2.352621078
MSH6	-1.069668174
GTF2A2	-4.541083813
GTF2E2	-2.879192352
HSD17B10	-1.737856746
HADH	-1.151592374
HDAC2	0.666947126
HIF1A	1.620538592
HK1	0.17570135
HLA-DMA	0.943768859
HLA-DRA	-0.21351254
HMGCR	-0.247659206
HMGCS1	1.275605679
HMOX1	-0.734955251
HOXA5	-0.742051184
HOXA10	-0.485527158
HPRT1	0.621563673
HES1	-6.323011398
DNAJB2	-0.391249657
HSPA1A	-0.606650949
HSPA4	-0.180665895
HSPA8	1.10881412
HSPB1	-0.059827149
HSPD1	-1.633057117
DNAJB1	0.620070875
ICAM1	1.107759118
ICAM3	-1.355816126
ID2	0.665749967
IDE	-3.016089916
IFNAR1	-0.64974606
IGF1R	0.014389515
IGF2R	3.543479204
IGFBP3	-1.110859632
IGHMBP2	-0.144443691
IKBKB	-0.745302498
IL1B	1.398255825
IL4R	0.598402023
IL13RA1	0.350316167
ILK	1.645827413
INPP1	-1.491066337
INSIG1	-1.507502913
ITGAE	-0.62632072
ITGB5	-1.395290971
JUN	0.662825167
KCNK1	1.944226027
KIF5C	-1.638768673
KIT	-1.400942326
KTN1	0.705964983
LAMA3	1.505223274
STMN1	1.450330019
LBR	1.902449727
LGALS8	0.854483724
LIG1	0.707383454
LIPA	2.364269733
LOXL1	2.601067066
LRPAP1	-1.536198258
LYN	0.591800094
SMAD3	-0.444665521
MAN2B1	-0.251457751
MAT2A	0.451636583
MBNL1	1.024451971
MCM3	-2.774901867
ME2	0.344284475
MEF2C	-1.343533278
MAP3K4	-1.340744495
MEST	1.254776001
MIF	7.411026955
FOXO4	-0.161618292
